id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at,enrichment_status,discovered_at,status
TX_PLA_33919,The Linda Deli,deli,Linda (Owner),2491 3rd St,Plano,TX,75031,Collin,(469) 445-5217,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142363+00:00,pending,2026-05-07T20:51:13.142385+00:00,new
TX_PLA_10251,Carlos Burger,burger,Carlos (Owner),8987 Commerce St,Plano,TX,75015,Collin,(214) 672-6974,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142428+00:00,pending,2026-05-07T20:51:13.142432+00:00,new
TX_PLA_32798,Antonio's Taqueria,taqueria,Antonio (Owner),1051 Elm St,Plano,TX,75027,Collin,(469) 792-7711,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142450+00:00,pending,2026-05-07T20:51:13.142452+00:00,new
TX_PLA_83082,Sandwich by Mike,sandwich,Mike (Owner),1700 Texas Ave,Plano,TX,75014,Collin,(469) 673-5606,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142468+00:00,pending,2026-05-07T20:51:13.142470+00:00,new
TX_PLA_36816,Rosa's Italian,italian,Rosa (Owner),6664 Oak St,Plano,TX,75002,Collin,(972) 726-8337,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142481+00:00,pending,2026-05-07T20:51:13.142483+00:00,new
TX_PLA_47512,William & Family Sandwich,sandwich,William (Owner),4977 Texas Ave,Plano,TX,75062,Collin,(972) 392-6273,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142494+00:00,pending,2026-05-07T20:51:13.142496+00:00,new
TX_PLA_84857,Seafood House,seafood,Emma (Owner),851 Maple Ave,Plano,TX,75081,Collin,(469) 938-9642,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142506+00:00,pending,2026-05-07T20:51:13.142508+00:00,new
TX_PLA_26709,Jennifer & Family Sushi,sushi,Jennifer (Owner),1929 Elm St,Plano,TX,75058,Collin,(469) 202-2409,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142518+00:00,pending,2026-05-07T20:51:13.142520+00:00,new
TX_PLA_27721,Mike's Vietnamese,vietnamese,Mike (Owner),5144 Main St,Plano,TX,75021,Collin,(469) 934-5146,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142530+00:00,pending,2026-05-07T20:51:13.142532+00:00,new
TX_PLA_36847,Luis's Italian,italian,Luis (Owner),1504 3rd St,Plano,TX,75072,Collin,(469) 822-1561,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142543+00:00,pending,2026-05-07T20:51:13.142545+00:00,new
TX_PLA_95228,Diner House,diner,Carlos (Owner),2615 Commerce St,Plano,TX,75060,Collin,(469) 497-2959,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142554+00:00,pending,2026-05-07T20:51:13.142556+00:00,new
TX_PLA_18111,Roberto's Food Truck,food truck,Roberto (Owner),2868 3rd St,Plano,TX,75037,Collin,(972) 463-7310,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142570+00:00,pending,2026-05-07T20:51:13.142571+00:00,new
TX_PLA_42806,Jose & Family Chinese,chinese,Jose (Owner),1152 Maple Ave,Plano,TX,75040,Collin,(214) 732-8499,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142586+00:00,pending,2026-05-07T20:51:13.142588+00:00,new
TX_PLA_81645,Luis's Place,pizza,Luis (Owner),3122 Main St,Plano,TX,75089,Collin,(214) 591-5411,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142597+00:00,pending,2026-05-07T20:51:13.142599+00:00,new
TX_PLA_49629,Chinese by Carlos,chinese,Carlos (Owner),8242 Houston St,Plano,TX,75089,Collin,(469) 842-3292,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142609+00:00,pending,2026-05-07T20:51:13.142610+00:00,new
TX_PLA_21991,Elena's Place,vietnamese,Elena (Owner),4741 Cedar St,Plano,TX,75044,Collin,(214) 963-8894,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142620+00:00,pending,2026-05-07T20:51:13.142622+00:00,new
TX_PLA_65986,Hector's Place,thai,Hector (Owner),1931 Cedar St,Plano,TX,75053,Collin,(972) 473-9895,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142632+00:00,pending,2026-05-07T20:51:13.142634+00:00,new
TX_PLA_21684,Hector Diner,diner,Hector (Owner),214 Jefferson Blvd,Plano,TX,75028,Collin,(214) 963-4481,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142644+00:00,pending,2026-05-07T20:51:13.142646+00:00,new
TX_PLA_41267,Patricia's Place,bakery,Patricia (Owner),4672 Oak St,Plano,TX,75085,Collin,(214) 466-3584,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142655+00:00,pending,2026-05-07T20:51:13.142657+00:00,new
TX_PLA_88261,The Elena Steakhouse,steakhouse,Elena (Owner),5946 Elm St,Plano,TX,75037,Collin,(469) 475-5370,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142675+00:00,pending,2026-05-07T20:51:13.142677+00:00,new
TX_PLA_62276,Food Truck House,food truck,Sarah (Owner),6880 Houston St,Plano,TX,75062,Collin,(469) 455-6239,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142687+00:00,pending,2026-05-07T20:51:13.142689+00:00,new
TX_PLA_89872,Sarah's Place,cafe,Sarah (Owner),6769 Houston St,Plano,TX,75015,Collin,(972) 343-9498,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142700+00:00,pending,2026-05-07T20:51:13.142705+00:00,new
TX_PLA_17087,Sandwich House,sandwich,Lisa (Owner),7256 Market St,Plano,TX,75040,Collin,(972) 475-4107,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142720+00:00,pending,2026-05-07T20:51:13.142722+00:00,new
TX_PLA_64324,The William Sandwich,sandwich,William (Owner),8315 Washington St,Plano,TX,75020,Collin,(972) 926-8632,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142732+00:00,pending,2026-05-07T20:51:13.142734+00:00,new
TX_PLA_56757,Food Truck House,food truck,Sofia (Owner),8285 Texas Ave,Plano,TX,75037,Collin,(214) 793-1277,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142744+00:00,pending,2026-05-07T20:51:13.142746+00:00,new
TX_PLA_71917,Mexican by Isabella,mexican,Isabella (Owner),3651 Oak St,Plano,TX,75072,Collin,(214) 941-7740,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142756+00:00,pending,2026-05-07T20:51:13.142757+00:00,new
TX_PLA_60208,Francisco & Family Thai,thai,Francisco (Owner),7201 2nd St,Plano,TX,75043,Collin,(972) 888-9063,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142767+00:00,pending,2026-05-07T20:51:13.142773+00:00,new
TX_PLA_44091,Emma Diner,diner,Emma (Owner),4170 Houston St,Plano,TX,75063,Collin,(214) 489-9016,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142782+00:00,pending,2026-05-07T20:51:13.142784+00:00,new
TX_PLA_79961,Miguel & Family Restaurant,restaurant,Miguel (Owner),7986 Cedar St,Plano,TX,75070,Collin,(972) 794-6591,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142794+00:00,pending,2026-05-07T20:51:13.142796+00:00,new
TX_PLA_43765,The Isabella Bakery,bakery,Isabella (Owner),7285 2nd St,Plano,TX,75094,Collin,(214) 488-9272,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142805+00:00,pending,2026-05-07T20:51:13.142807+00:00,new
TX_PLA_12050,Guadalupe's Bbq,bbq,Guadalupe (Owner),7007 Broadway,Plano,TX,75081,Collin,(214) 528-8980,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142817+00:00,pending,2026-05-07T20:51:13.142819+00:00,new
TX_PLA_39516,Maria's Place,chinese,Maria (Owner),534 Commerce St,Plano,TX,75083,Collin,(214) 287-3223,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142828+00:00,pending,2026-05-07T20:51:13.142830+00:00,new
TX_PLA_22687,Isabella Seafood,seafood,Isabella (Owner),4027 Washington St,Plano,TX,75050,Collin,(972) 392-8857,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142843+00:00,pending,2026-05-07T20:51:13.142845+00:00,new
TX_PLA_77213,The Roberto Taqueria,taqueria,Roberto (Owner),4650 Main St,Plano,TX,75009,Collin,(469) 994-6644,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142855+00:00,pending,2026-05-07T20:51:13.142857+00:00,new
TX_PLA_49247,Jose's Thai,thai,Jose (Owner),9388 2nd St,Plano,TX,75059,Collin,(469) 427-4538,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142870+00:00,pending,2026-05-07T20:51:13.142872+00:00,new
TX_PLA_71976,Thai House,thai,Tony (Owner),9943 Dallas St,Plano,TX,75006,Collin,(214) 633-7618,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142882+00:00,pending,2026-05-07T20:51:13.142884+00:00,new
TX_PLA_55371,Chinese by Luis,chinese,Luis (Owner),2443 Main St,Plano,TX,75034,Collin,(469) 753-6709,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142894+00:00,pending,2026-05-07T20:51:13.142896+00:00,new
TX_PLA_98400,Roberto & Family Deli,deli,Roberto (Owner),3250 2nd St,Plano,TX,75021,Collin,(214) 513-7223,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142906+00:00,pending,2026-05-07T20:51:13.142907+00:00,new
TX_PLA_54741,Restaurant House,restaurant,Antonio (Owner),4346 Pine St,Plano,TX,75095,Collin,(214) 742-9271,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142917+00:00,pending,2026-05-07T20:51:13.142919+00:00,new
TX_PLA_89237,The Luis Chinese,chinese,Luis (Owner),8358 Pine St,Plano,TX,75003,Collin,(469) 848-4008,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142929+00:00,pending,2026-05-07T20:51:13.142931+00:00,new
TX_PLA_55043,Carmen's Chinese,chinese,Carmen (Owner),1554 Market St,Plano,TX,75075,Collin,(972) 797-6614,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142941+00:00,pending,2026-05-07T20:51:13.142943+00:00,new
TX_PLA_66115,Mike's Italian,italian,Mike (Owner),8052 Dallas St,Plano,TX,75021,Collin,(469) 223-1114,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142957+00:00,pending,2026-05-07T20:51:13.142959+00:00,new
TX_PLA_49739,Tony's Pizza,pizza,Tony (Owner),2739 Broadway,Plano,TX,75086,Collin,(214) 992-8478,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142981+00:00,pending,2026-05-07T20:51:13.142983+00:00,new
TX_PLA_66008,Sushi House,sushi,Elena (Owner),7592 Pine St,Plano,TX,75076,Collin,(972) 961-7182,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.142993+00:00,pending,2026-05-07T20:51:13.142995+00:00,new
TX_PLA_56021,The Luis Pizza,pizza,Luis (Owner),5027 Commerce St,Plano,TX,75053,Collin,(469) 452-2891,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.143004+00:00,pending,2026-05-07T20:51:13.143006+00:00,new
TX_PLA_76743,Isabella's Bakery,bakery,Isabella (Owner),5280 Maple Ave,Plano,TX,75006,Collin,(972) 852-8351,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.143016+00:00,pending,2026-05-07T20:51:13.143018+00:00,new
TX_PLA_36769,Sushi by Isabella,sushi,Isabella (Owner),3773 Commerce St,Plano,TX,75002,Collin,(972) 479-6971,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.143031+00:00,pending,2026-05-07T20:51:13.143033+00:00,new
TX_PLA_66281,Tony's Chinese,chinese,Tony (Owner),2727 Washington St,Plano,TX,75042,Collin,(214) 707-4781,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.143043+00:00,pending,2026-05-07T20:51:13.143045+00:00,new
TX_PLA_71299,The Sofia Bbq,bbq,Sofia (Owner),9098 3rd St,Plano,TX,75079,Collin,(972) 656-8168,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.143058+00:00,pending,2026-05-07T20:51:13.143060+00:00,new
TX_PLA_45311,Tony Pizza,pizza,Tony (Owner),4136 Washington St,Plano,TX,75093,Collin,(469) 669-9011,,,B,TX_Scraper_Plano,2026-05-07T20:51:13.143070+00:00,pending,2026-05-07T20:51:13.143072+00:00,new
