license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-547470,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Group,Lisa Davis,4643 Oak Ct,Madera,CA,91959,Fresno,(559) 650-2269,2010-09-03,2011-09-03
41-970720,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Fresno Inc 5,Steven Thomas,4907 Pico St #142,Fresno,CA,92585,Fresno,(559) 727-7524,2024-11-07,2025-11-07
41-267758,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Group,Andrew Jones,2168 Market Dr #475,Madera,CA,92966,Fresno,(559) 780-1530,2011-06-15,2012-06-15
41-523727,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Madera Corp,Steven Thomas Lopez,6957 2nd Way #697,Madera,CA,95800,Fresno,(559) 551-4643,2016-05-28,2017-05-28
41-219361,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Fresno Co 84,Kenneth Thomas Anderson,2832 Mission Blvd,Fresno,CA,90480,Fresno,(559) 306-7816,2005-10-13,2006-10-13
41-541996,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Co,William Johnson,5272 5th Ln,Fresno,CA,94651,Fresno,(559) 607-2621,2008-08-27,2009-08-27
41-891662,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Fresno Corp,Matthew Lopez Jackson,9568 4th Dr,Madera,CA,92593,Fresno,(559) 783-5989,2000-10-17,2001-10-17
41-367240,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Inc 23,Anthony Martin Hernandez,3085 2nd St,Clovis,CA,95770,Fresno,(559) 521-8454,2005-04-06,2006-04-06
41-658424,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery LLC 69,Kenneth Thomas,4919 Ocean Rd,Fresno,CA,95156,Fresno,(559) 329-9327,2002-08-26,2003-08-26
41-525019,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner 9,James Garcia Garcia,8601 Lincoln Ct #909,Fresno,CA,95338,Fresno,(559) 971-4399,2000-09-15,2001-09-15
41-141044,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheRestaurant Fresno Group 16,Michael Taylor Martinez,8392 State Rd #275,Fresno,CA,93465,Fresno,(559) 454-5925,2021-09-15,2022-09-15
41-817953,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Fresno,Kenneth Smith Taylor,6493 2nd Ln,Clovis,CA,90029,Fresno,(559) 785-4568,2014-09-23,2015-09-23
41-930116,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Fresno,Steven Rodriguez,9321 4th Blvd,Fresno,CA,93923,Fresno,(559) 449-1915,2003-01-27,2004-01-27
41-247705,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewCorner 58,Maria Miller Martin,2249 Front Ln,Madera,CA,93529,Fresno,(559) 929-7350,2002-03-19,2003-03-19
41-526127,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Group,William Martin,7461 Jefferson Ave,Madera,CA,96108,Fresno,(559) 630-9947,2011-04-07,2012-04-07
41-212783,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Madera Hills,Christopher Gonzalez,1152 4th Blvd #623,Madera,CA,92073,Fresno,(559) 500-9691,2005-06-14,2006-06-14
41-357234,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,Kenneth Hernandez Moore,5251 Mission St,Clovis,CA,90089,Fresno,(559) 418-8624,2002-07-10,2003-07-10
41-940422,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Maria Jones,2919 State Ln,Fresno,CA,91934,Fresno,(559) 647-2477,2024-06-01,2025-06-01
41-500464,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Fresno Heights Co,Maria Jackson,6665 Main Blvd #363,Fresno,CA,95911,Fresno,(559) 643-2907,2009-10-17,2010-10-17
41-906104,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Inc,Mark Miller,4400 Oak Ave #475,Madera,CA,93382,Fresno,(559) 345-4982,2010-11-23,2011-11-23
41-615909,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldGrill Madera 66,Jennifer Anderson,1537 Lincoln Pl,Madera,CA,91563,Fresno,(559) 985-8060,2023-03-21,2024-03-21
41-283602,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewHouse Fresno Inc 96,Paul Brown Smith,5291 3rd Dr,Fresno,CA,90743,Fresno,(559) 689-5182,2000-07-26,2001-07-26
41-320430,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Fresno LLC,Anthony Garcia,3332 Franklin Pl,Fresno,CA,91524,Fresno,(559) 494-2003,2002-03-07,2003-03-07
