license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-571029,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Group 44,Christopher Lopez,4652 Ocean Dr #444,Ontario,CA,90837,San Bernardino,(909) 589-2584,2001-12-15,2002-12-15
41-182627,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Group,James Gonzalez,3250 Franklin Ave,Victorville,CA,91866,San Bernardino,(760) 281-4814,2020-06-06,2021-06-06
41-220944,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Corp,Jennifer Johnson,9874 3rd Rd #421,San Bernardino,CA,93574,San Bernardino,(909) 594-4114,2000-09-26,2001-09-26
41-481913,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Corp,Lisa Moore,2141 Maple Ln,Ontario,CA,95463,San Bernardino,(760) 534-7592,2013-11-13,2014-11-13
41-172306,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Inc,Mark Anderson,6034 Jefferson Pl #545,Rancho Cucamonga,CA,91442,San Bernardino,(760) 830-9817,2023-10-09,2024-10-09
41-189771,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner San Bernardino Co 3,Mark Moore,1624 State Dr,Ontario,CA,91993,San Bernardino,(760) 879-7046,2013-12-18,2014-12-18
41-170966,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Inc,Kenneth Hernandez,6216 Hollywood St,Rancho Cucamonga,CA,90553,San Bernardino,(760) 446-2698,2011-09-11,2012-09-11
41-720556,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewPlace Co 73,Kenneth Wilson,774 Main Ave,Ontario,CA,95254,San Bernardino,(760) 866-4453,2000-08-21,2001-08-21
41-606404,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Rancho Cucamonga Co,Christopher Gonzalez,7302 3rd Pl,Rancho Cucamonga,CA,92786,San Bernardino,(909) 520-6231,2011-09-18,2012-09-18
41-990598,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,David Anderson Williams,6924 7th Ct,Ontario,CA,91989,San Bernardino,(760) 408-6411,2017-12-27,2018-12-27
41-501078,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner San Bernardino,Michael Thomas,4530 Sunset St,San Bernardino,CA,91794,San Bernardino,(909) 997-5602,2024-10-08,2025-10-08
41-977340,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Robert Hernandez,9957 Wilshire St,Ontario,CA,90005,San Bernardino,(760) 828-4300,2010-01-01,2011-01-01
41-712879,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewCafe Group 39,Lisa Miller,1871 5th Ave,Victorville,CA,92264,San Bernardino,(760) 483-5278,2024-04-02,2025-04-02
41-776909,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldPlace 34,Kenneth Miller Moore,1352 Maple Ave #969,Ontario,CA,94154,San Bernardino,(909) 795-7637,2008-09-18,2009-09-18
41-966662,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant,John Wilson,8806 6th Ave,Victorville,CA,95401,San Bernardino,(909) 817-9835,2011-01-23,2012-01-23
41-941272,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheTavern Ontario Co 55,Matthew Rodriguez,2293 Hollywood Pl #979,Ontario,CA,90686,San Bernardino,(760) 812-9908,2022-12-26,2023-12-26
41-384218,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant San Bernardino,James Gonzalez,5649 7th Pl,Rancho Cucamonga,CA,90237,San Bernardino,(760) 891-1826,2013-07-06,2014-07-06
41-223215,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House San Bernardino Co,William Johnson,4628 Broadway Dr,Ontario,CA,91222,San Bernardino,(760) 709-3888,2011-05-07,2012-05-07
41-755017,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Maria Anderson,5942 Front Blvd,Ontario,CA,95357,San Bernardino,(760) 212-7376,2021-05-21,2022-05-21
41-175434,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheKitchen LLC 2,Daniel Thomas,8303 Maple Rd,Victorville,CA,93406,San Bernardino,(760) 960-7113,2018-02-14,2019-02-14
41-868650,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery 63,William Miller,3081 6th Ave,Rancho Cucamonga,CA,91741,San Bernardino,(909) 405-1966,2013-08-21,2014-08-21
41-628288,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Rancho Cucamonga Company 4,Christopher Jones,9257 Main Way,Rancho Cucamonga,CA,91151,San Bernardino,(760) 448-9391,2018-05-02,2019-05-02
41-114303,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Inc,James Gonzalez,5039 Main Dr,Ontario,CA,95636,San Bernardino,(909) 234-5463,2004-12-09,2005-12-09
41-734787,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner San Bernardino,Christopher Anderson,4204 Madison Ave,San Bernardino,CA,93566,San Bernardino,(760) 382-1414,2011-12-14,2012-12-14
41-458038,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern 94,Christopher Anderson,1515 Sunset Rd,San Bernardino,CA,90164,San Bernardino,(909) 210-4563,2023-04-10,2024-04-10
41-827981,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro San Bernardino Company,Jennifer Smith,3142 Hollywood Ct,Ontario,CA,94953,San Bernardino,(760) 385-5668,2000-07-22,2001-07-22
41-936212,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Ontario,Mark Davis,5432 Maple Pl #707,Ontario,CA,93849,San Bernardino,(909) 999-7390,2019-10-13,2020-10-13
