license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
20-139147,20,Off-Sale Beer & Wine,ACTIVE,Inyo Cafe,John Martin,7666 Broad Ave,Inyo,CA,92145,Inyo,(916) 757-4133,2021-06-22,2024-06-22
48-797254,48,On-Sale General - Bar/Tavern,ACTIVE,Inyo Cafe LLC,Kenneth Wilson,965 Main Dr,Inyo,CA,93793,Inyo,(760) 398-1312,2017-08-03,2024-08-16
75-654340,75,Event Permit Holder,ACTIVE,The Inyo Restaurant LLC,Paul Gonzalez,4174 Main Ave,Inyo,CA,91488,Inyo,(916) 550-4027,2020-01-12,2025-04-07
48-629590,48,On-Sale General - Bar/Tavern,ACTIVE,Inyo Cafe LLC,Mark Davis,6567 Center St,Inyo,CA,91750,Inyo,(442) 608-4068,2019-01-13,2024-03-24
47-181311,47,On-Sale General - Restaurant,ACTIVE,Inyo Bar Inc,Mark Lopez,1975 Main Rd,Inyo,CA,94080,Inyo,(209) 508-1469,2021-03-18,2026-05-01
20-204591,20,Off-Sale Beer & Wine,ACTIVE,The Inyo Cafe LLC,Maria Davis,1705 Broad Dr,Inyo,CA,91022,Inyo,(916) 467-8040,2019-12-08,2025-12-21
21-857487,21,Off-Sale General,ACTIVE,The Inyo Bar LLC,Anthony Miller,822 Main Ave,Inyo,CA,91681,Inyo,(707) 805-1993,2020-06-24,2026-07-26
20-283742,20,Off-Sale Beer & Wine,ACTIVE,Inyo Bar,Kenneth Martinez,7936 Broad Dr,Inyo,CA,94689,Inyo,(209) 512-4188,2013-12-17,2024-11-11
47-434179,47,On-Sale General - Restaurant,ACTIVE,Inyo Restaurant,John Davis,3182 Broad Way,Inyo,CA,95510,Inyo,(559) 841-7163,2012-11-15,2024-03-26
58-345628,58,Caterer's Beer & Wine,ACTIVE,Inyo Cafe,Michael Taylor,683 Center Ave,Inyo,CA,96152,Inyo,(559) 203-2787,2015-11-12,2026-09-22
75-741520,75,Event Permit Holder,ACTIVE,Inyo Bar LLC,Lisa Rodriguez,7475 Broad Pl,Inyo,CA,92786,Inyo,(831) 254-8843,2021-07-17,2025-01-03
20-439368,20,Off-Sale Beer & Wine,ACTIVE,Inyo Bar LLC,Andrew Hernandez,1940 Broad Ct,Inyo,CA,96083,Inyo,(559) 825-3067,2012-06-20,2025-11-25
58-609659,58,Caterer's Beer & Wine,ACTIVE,Inyo Bar Inc,Lisa Taylor,4347 Broad Way,Inyo,CA,91622,Inyo,(707) 964-9338,2016-11-05,2026-05-07
21-877333,21,Off-Sale General,ACTIVE,Inyo Bar Inc,David Hernandez,3147 Broad St,Inyo,CA,92503,Inyo,(916) 721-6706,2018-02-20,2025-09-17
21-979065,21,Off-Sale General,ACTIVE,Inyo Market,James Johnson,2720 Main Blvd,Inyo,CA,92257,Inyo,(916) 287-1290,2018-09-21,2026-04-20
48-412541,48,On-Sale General - Bar/Tavern,ACTIVE,Inyo Tavern LLC,Jennifer Taylor,6288 Center Dr,Inyo,CA,91139,Inyo,(209) 636-9716,2012-06-09,2026-07-09
75-789468,75,Event Permit Holder,ACTIVE,Inyo Market,Maria Davis,3117 Main Ave,Inyo,CA,91549,Inyo,(760) 315-8511,2019-02-18,2024-08-07
48-205147,48,On-Sale General - Bar/Tavern,ACTIVE,Inyo Tavern Inc,Maria Miller,1082 Center Ln,Inyo,CA,91893,Inyo,(559) 399-3159,2014-12-18,2024-02-20
41-202005,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Inyo Tavern,Robert Williams,5058 Center Blvd,Inyo,CA,92497,Inyo,(530) 874-1739,2018-04-19,2026-04-09
58-872973,58,Caterer's Beer & Wine,ACTIVE,The Inyo Restaurant Inc,Michael Taylor,9571 Main Ave,Inyo,CA,91034,Inyo,(530) 966-8510,2016-01-19,2026-03-25
20-795645,20,Off-Sale Beer & Wine,ACTIVE,Inyo Tavern,John Martin,5674 Broad Pl,Inyo,CA,91101,Inyo,(559) 436-7216,2011-03-21,2025-11-25
58-164035,58,Caterer's Beer & Wine,ACTIVE,The Inyo Restaurant Inc,Mark Gonzalez,8970 Main Dr,Inyo,CA,92338,Inyo,(442) 530-9547,2018-09-16,2024-08-23
47-756655,47,On-Sale General - Restaurant,ACTIVE,The Inyo Market Inc,James Wilson,8688 Main Pl,Inyo,CA,91988,Inyo,(760) 568-8505,2022-11-06,2025-08-13
21-165844,21,Off-Sale General,ACTIVE,Inyo Restaurant,Anthony Miller,9547 Broad Dr,Inyo,CA,96141,Inyo,(831) 688-7770,2019-10-28,2026-12-28
20-100092,20,Off-Sale Beer & Wine,ACTIVE,The Inyo Tavern LLC,Daniel Wilson,5452 Broad Ct,Inyo,CA,93441,Inyo,(760) 301-4250,2019-07-24,2026-06-06
75-716625,75,Event Permit Holder,ACTIVE,The Inyo Bar,Matthew Johnson,8323 Broad St,Inyo,CA,91432,Inyo,(530) 472-2213,2021-12-20,2025-08-12
58-344985,58,Caterer's Beer & Wine,ACTIVE,Inyo Market Inc,James Moore,4950 Broad Blvd,Inyo,CA,91487,Inyo,(442) 829-1608,2017-02-18,2024-08-01
75-652995,75,Event Permit Holder,ACTIVE,The Inyo Restaurant LLC,Andrew Martinez,4149 Center Way,Inyo,CA,94557,Inyo,(209) 856-1409,2014-06-05,2025-06-15
75-713206,75,Event Permit Holder,ACTIVE,The Inyo Restaurant LLC,Michael Miller,6302 Broad Ct,Inyo,CA,92437,Inyo,(916) 861-1095,2024-07-19,2025-10-21
41-942079,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Inyo Bar,Kenneth Gonzalez,7642 Main Dr,Inyo,CA,95935,Inyo,(707) 272-2905,2010-11-04,2024-12-19
58-922290,58,Caterer's Beer & Wine,ACTIVE,Inyo Bar Inc,Robert Jackson,501 Main Pl,Inyo,CA,94617,Inyo,(831) 482-8149,2023-06-20,2024-02-17
75-104425,75,Event Permit Holder,ACTIVE,Inyo Tavern Inc,Anthony Thomas,6609 Broad St,Inyo,CA,92190,Inyo,(209) 812-4833,2012-05-11,2025-04-10
20-210004,20,Off-Sale Beer & Wine,ACTIVE,Inyo Bar LLC,Matthew Williams,9430 Center Rd,Inyo,CA,93609,Inyo,(530) 814-7820,2013-02-11,2024-06-21
58-794420,58,Caterer's Beer & Wine,ACTIVE,Inyo Market Inc,Kenneth Williams,5035 Broad Blvd,Inyo,CA,95758,Inyo,(916) 469-3128,2018-03-19,2024-05-09
48-388779,48,On-Sale General - Bar/Tavern,ACTIVE,Inyo Market,Michael Rodriguez,1848 Main Way,Inyo,CA,91279,Inyo,(916) 355-5879,2013-10-20,2024-08-18
41-131248,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Inyo Bar Inc,John Gonzalez,6793 Broad Ave,Inyo,CA,91818,Inyo,(916) 818-2016,2012-07-05,2025-03-10
41-572585,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Inyo Tavern,Maria Hernandez,9710 Broad Pl,Inyo,CA,91827,Inyo,(831) 627-9559,2024-10-21,2025-11-01
75-421765,75,Event Permit Holder,ACTIVE,The Inyo Restaurant,Michelle Hernandez,959 Broad Ct,Inyo,CA,94225,Inyo,(530) 888-1312,2012-05-05,2025-04-08
41-202398,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Inyo Restaurant LLC,Anthony Moore,5139 Main Ln,Inyo,CA,92281,Inyo,(559) 942-6652,2015-08-21,2025-11-17
48-200025,48,On-Sale General - Bar/Tavern,ACTIVE,Inyo Cafe Inc,David Wilson,8570 Center Dr,Inyo,CA,90397,Inyo,(559) 463-6703,2015-02-24,2026-07-12
75-935119,75,Event Permit Holder,ACTIVE,Inyo Restaurant LLC,John Lopez,1246 Center Dr,Inyo,CA,95602,Inyo,(530) 752-8493,2024-03-07,2025-02-06
75-635579,75,Event Permit Holder,ACTIVE,Inyo Restaurant,Lisa Anderson,6911 Main Blvd,Inyo,CA,93448,Inyo,(916) 908-7896,2012-03-28,2026-07-23
48-193838,48,On-Sale General - Bar/Tavern,ACTIVE,The Inyo Restaurant Inc,Christopher Taylor,8516 Center St,Inyo,CA,90496,Inyo,(559) 283-5243,2012-11-22,2026-03-18
75-767327,75,Event Permit Holder,ACTIVE,The Inyo Restaurant Inc,Matthew Brown,5087 Broad Way,Inyo,CA,90092,Inyo,(442) 403-9421,2022-09-23,2024-05-01
48-915151,48,On-Sale General - Bar/Tavern,ACTIVE,The Inyo Cafe LLC,Michael Moore,4610 Broad Pl,Inyo,CA,90915,Inyo,(209) 346-6393,2021-05-10,2026-06-08
