id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
IA-56906,Bar & Grill,Michael Moore,Manager,info@barandgrill.com,(319) 986-3682,3289 Park Ave,Des Moines,IA,Iowa,67114,Bar,B,214100,ShopKeep,70,True,True,17,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222154
IA-25476,Iowa City Pub House,Robert Wilson,General Manager,info@iowacitypubhouse.com,(641) 260-9258,1364 Lake St,Iowa City,IA,Iowa,73950,Pub,C,78000,Square,85,True,False,24,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222181
IA-58709,Iowa City Eatery,Susan Miller,General Manager,info@iowacityeatery.com,(641) 210-5018,921 Market St,Iowa City,IA,Iowa,92655,Grill,C,78000,Lightspeed,60,True,True,3,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222192
IA-26277,Grand Kitchen on Main,Linda Lee,General Manager,info@grandkitchenonmain.com,(563) 371-8258,2321 Pine St,Iowa City,IA,Iowa,12856,Kitchen,C,78000,Clover,75,False,False,1,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222202
IA-95325,West Des Moines Cafe,Sarah White,General Manager,info@westdesmoinescafe.com,(712) 496-7465,2012 Main St,Des Moines,IA,Iowa,94020,Cafe,B,214100,Square,85,True,True,27,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222212
IA-47410,Garcia's Grill,Charles Garcia,Manager,info@garciasgrill.com,(641) 479-7787,515 Maple Ave,Cedar Rapids,IA,Iowa,69401,Grill,B,137700,Aloha,80,True,False,7,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222222
IA-40945,Des Moines Tavern House,Jessica Martinez,General Manager,info@desmoinestavernhouse.com,(712) 352-9543,1790 Park Ave,Des Moines,IA,Iowa,79098,Tavern,B,214100,Unknown,40,True,False,29,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222231
IA-69030,Restaurant Co.,Karen Anderson,Owner,info@restaurantco..com,(641) 510-5945,2466 River Rd,Des Moines,IA,Iowa,13275,Restaurant,B,214100,Square,85,True,False,33,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222239
IA-33948,Cedar Rapids Urban Cafe,Sarah Jackson,Manager,info@cedarrapidsurbancafe.com,(712) 881-4055,837 Broadway,Cedar Rapids,IA,Iowa,46297,Cafe,B,137700,TouchBistro,65,True,True,3,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222247
IA-34031,Des Moines Bistro,John Martinez,General Manager,info@desmoinesbistro.com,(641) 277-9865,3196 Broadway,Des Moines,IA,Iowa,93468,Eatery,B,214100,Toast,60,True,False,15,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222255
IA-41833,Downtown Bistro,Joseph Martin,Owner,info@downtownbistro.com,(515) 546-1044,6954 Lake St,Davenport,IA,Iowa,26051,Bistro,B,101000,TouchBistro,65,True,True,21,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Davenport,Midwest",2026-05-07T20:52:45.222264
IA-85299,Eatery & Grill,William Martinez,Manager,info@eateryandgrill.com,(515) 305-2557,1480 Market St,Cedar Rapids,IA,Iowa,34933,Eatery,B,137700,Cake POS,75,False,True,21,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222275
IA-69484,Bar of Davenport,Linda Jones,Owner,info@barofdavenport.com,(641) 243-6584,1339 Lake St,Davenport,IA,Iowa,94033,Bar,B,101000,Revel,70,True,True,34,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Davenport,Midwest",2026-05-07T20:52:45.222284
IA-29242,Grill Co.,Susan Martinez,General Manager,info@grillco..com,(712) 962-9511,2472 Market St,Cedar Rapids,IA,Iowa,48634,Grill,B,137700,Toast,60,True,True,8,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222292
IA-86076,Diner & Grill,Charles Jones,Operations Manager,info@dinerandgrill.com,(563) 404-9812,2224 Pine St,Cedar Rapids,IA,Iowa,90979,Diner,B,137700,ShopKeep,70,True,True,25,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222299
IA-40935,Des Moines Bistro,Charles Jackson,General Manager,info@desmoinesbistro.com,(712) 272-9873,5221 Chestnut St,Des Moines,IA,Iowa,55939,Kitchen,B,214100,TouchBistro,65,True,True,23,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222311
IA-98331,Taylor's Bistro,Michael Taylor,Owner,info@taylorsbistro.com,(712) 351-2756,9655 Chestnut St,Iowa City,IA,Iowa,89363,Bistro,C,78000,Cake POS,75,True,True,4,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222319
IA-34891,Davenport Kitchen,Thomas Martin,Manager,info@davenportkitchen.com,(641) 833-1262,5278 Lake St,Davenport,IA,Iowa,82640,Kitchen,B,101000,TouchBistro,65,True,True,11,1M-3M,MIDWEST_IA_Scraper,"Restaurant,IA,Davenport,Midwest",2026-05-07T20:52:45.222327
IA-43822,Des Moines Diner House,David Davis,Owner,info@desmoinesdinerhouse.com,(563) 720-9943,2095 Elm St,Des Moines,IA,Iowa,73178,Diner,B,214100,Lightspeed,60,True,False,4,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222335
IA-31154,Cedar Rapids Eatery,Elizabeth Jackson,Owner,info@cedarrapidseatery.com,(563) 636-4873,1152 Park Ave,Cedar Rapids,IA,Iowa,31677,Pub,B,137700,ShopKeep,70,False,True,1,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222343
IA-13937,Cedar Rapids Diner House,Christopher Taylor,Manager,info@cedarrapidsdinerhous.com,(319) 880-1997,4721 Washington St,Cedar Rapids,IA,Iowa,77293,Diner,B,137700,Toast,60,True,True,30,3M-5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222351
IA-80449,Iowa City Bistro,Mary Hernandez,Manager,info@iowacitybistro.com,(563) 840-1034,758 Lake St,Iowa City,IA,Iowa,68321,Tavern,C,78000,Revel,70,True,True,32,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Iowa City,Midwest",2026-05-07T20:52:45.222362
IA-16587,Uptown Kitchen,Charles Brown,Owner,info@uptownkitchen.com,(515) 829-8703,7882 Main St,Cedar Rapids,IA,Iowa,69781,Kitchen,B,137700,Clover,75,True,True,18,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222369
IA-78729,Cedar Rapids Eatery,Jennifer Anderson,Manager,info@cedarrapidseatery.com,(641) 287-2099,1990 Washington St,Cedar Rapids,IA,Iowa,97303,Pub,B,137700,Cake POS,75,True,True,18,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222377
IA-38468,Kitchen of Davenport,William Williams,Manager,info@kitchenofdavenport.com,(319) 767-2145,264 Washington St,Davenport,IA,Iowa,67172,Kitchen,B,101000,Clover,75,True,True,12,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Davenport,Midwest",2026-05-07T20:52:45.222385
IA-45801,Garcia's Bar,John Garcia,Manager,info@garciasbar.com,(563) 693-7588,6424 Elm St,Cedar Rapids,IA,Iowa,22651,Bar,B,137700,Revel,70,True,False,12,>5M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222413
IA-25896,Cedar Rapids Kitchen House,Elizabeth Thompson,Operations Manager,info@cedarrapidskitchenho.com,(641) 702-1990,2566 Maple Ave,Cedar Rapids,IA,Iowa,52013,Kitchen,B,137700,Micros,75,False,True,22,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222426
IA-79570,Cedar Rapids Kitchen,Linda Lopez,Operations Manager,info@cedarrapidskitchen.com,(515) 848-1297,3730 Washington St,Cedar Rapids,IA,Iowa,51216,Pub,B,137700,Lightspeed,60,False,True,29,<500K,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222435
IA-19062,The Silver Grill,Joseph Jones,Operations Manager,info@thesilvergrill.com,(712) 596-2967,5810 Pine St,Cedar Rapids,IA,Iowa,81916,Grill,B,137700,Toast,60,True,True,17,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Cedar Rapids,Midwest",2026-05-07T20:52:45.222443
IA-97167,Tavern & Grill,Joseph Williams,Operations Manager,info@tavernandgrill.com,(712) 913-1913,4750 Washington St,Des Moines,IA,Iowa,20865,Tavern,B,214100,ShopKeep,70,True,True,12,500K-1M,MIDWEST_IA_Scraper,"Restaurant,IA,Des Moines,Midwest",2026-05-07T20:52:45.222454
