license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-890075,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery San Joaquin Corp,Andrew Moore,575 2nd Rd,Lodi,CA,93312,San Joaquin,(209) 678-3091,2012-10-19,2013-10-19
41-138479,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Maria Taylor,6722 6th St,Tracy,CA,94444,San Joaquin,(209) 623-1888,2024-08-21,2025-08-21
41-299405,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern San Joaquin LLC,Andrew Smith,4191 Washington Rd,Tracy,CA,90873,San Joaquin,(209) 280-9071,2017-01-28,2018-01-28
41-703171,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Tracy Heights Inc,William Moore,6063 Broadway Ave,Tracy,CA,93812,San Joaquin,(209) 574-7003,2017-12-25,2018-12-25
41-576076,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot LLC,Jennifer Wilson,6057 2nd Pl #625,Tracy,CA,91663,San Joaquin,(209) 392-2124,2009-10-21,2010-10-21
41-536604,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot San Joaquin,Matthew Garcia,4468 Market Blvd,Lodi,CA,92257,San Joaquin,(209) 905-9281,2000-05-09,2001-05-09
41-924584,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Lodi Company,Andrew Wilson,8287 Ocean St,Lodi,CA,94913,San Joaquin,(209) 505-2892,2009-06-01,2010-06-01
41-533354,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewRestaurant Tracy Hills Co 37,Maria Williams,3526 Market Ct,Tracy,CA,91416,San Joaquin,(209) 954-3190,2019-03-27,2020-03-27
41-933451,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheKitchen 12,Michelle Garcia,2003 Lincoln Rd #725,Tracy,CA,91458,San Joaquin,(209) 311-2411,2023-01-24,2024-01-24
41-352697,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill San Joaquin,Maria Martinez,2147 Broadway St,Tracy,CA,92728,San Joaquin,(209) 673-8452,2008-04-22,2009-04-22
41-960824,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewKitchen Company 17,James Anderson,4490 Lincoln Way #198,Lodi,CA,93964,San Joaquin,(209) 781-3511,2010-02-16,2011-02-16
41-657678,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheRestaurant San Joaquin Co 91,Mark Davis,1943 6th Rd #880,Tracy,CA,90843,San Joaquin,(209) 522-8090,2017-06-03,2018-06-03
41-472970,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Lodi Hills,James Williams,5548 Washington Ln,Lodi,CA,96044,San Joaquin,(209) 635-9189,2010-04-19,2011-04-19
41-708685,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Maria Martinez,4818 Mission Ave,Lodi,CA,91746,San Joaquin,(209) 868-2707,2023-04-21,2024-04-21
41-703477,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Inc,James Davis Brown,295 6th Rd,Tracy,CA,93601,San Joaquin,(209) 691-3776,2013-12-18,2014-12-18
41-529916,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Anthony Garcia,3110 Main Rd,Tracy,CA,94630,San Joaquin,(209) 420-1161,2023-08-05,2024-08-05
41-144813,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Daniel Thomas,1724 Madison Ave,Stockton,CA,95505,San Joaquin,(209) 436-1851,2002-11-19,2003-11-19
