license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-659543,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Sonoma LLC,Lisa Smith,4808 Wilshire Ave,Sonoma,CA,90806,Sonoma,(707) 654-3725,2001-05-12,2002-05-12
41-190581,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldHouse Sonoma 60,Matthew Smith,6133 Lincoln Pl #894,Petaluma,CA,91600,Sonoma,(707) 354-1104,2011-11-27,2012-11-27
41-195643,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner,James Anderson,4996 Hollywood Blvd,Santa Rosa,CA,93312,Sonoma,(707) 769-5093,2004-02-01,2005-02-01
41-133164,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewGrill Sonoma 28,Paul Smith,8703 State Blvd,Sonoma,CA,90306,Sonoma,(707) 294-8270,2016-03-07,2017-03-07
41-383457,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldGrill Co 67,Matthew Brown,5628 Madison Blvd,Petaluma,CA,90086,Sonoma,(707) 269-1195,2021-08-12,2022-08-12
41-712011,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Sonoma Company,Paul Johnson,6168 Jefferson Pl #101,Sonoma,CA,95138,Sonoma,(707) 594-6454,2024-05-23,2025-05-23
41-906234,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House,Daniel Wilson,3323 3rd Ave,Sonoma,CA,90263,Sonoma,(707) 563-5075,2003-05-10,2004-05-10
41-893591,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern LLC 52,Daniel Jackson,4825 Main Ct #881,Petaluma,CA,93801,Sonoma,(707) 899-2610,2013-07-07,2014-07-07
41-954141,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldGrill Sonoma Heights Company 71,Anthony Miller,2639 Madison Ln,Sonoma,CA,91838,Sonoma,(707) 451-4700,2009-04-01,2010-04-01
41-978634,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Christopher Davis,6647 Jefferson Way #823,Petaluma,CA,92981,Sonoma,(707) 641-7065,2011-02-23,2012-02-23
41-956397,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,James Garcia Thomas,784 Franklin Pl,Santa Rosa,CA,95648,Sonoma,(707) 272-2874,2002-03-18,2003-03-18
41-586144,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewTavern Inc 49,Maria Brown,2547 2nd Rd,Petaluma,CA,95421,Sonoma,(707) 354-4013,2015-03-09,2016-03-09
41-253209,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Group 66,Maria Rodriguez,1289 Lincoln Blvd,Santa Rosa,CA,96171,Sonoma,(707) 840-6926,2024-07-02,2025-07-02
41-212681,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Petaluma Co,Maria Davis,754 Madison St,Petaluma,CA,92765,Sonoma,(707) 491-8041,2019-10-25,2020-10-25
41-594281,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Sonoma,Steven Williams,1349 Mission Blvd,Petaluma,CA,90359,Sonoma,(707) 678-7756,2017-08-23,2018-08-23
41-236369,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldHouse Petaluma Heights Group 64,Matthew Smith Miller,6579 3rd Way #861,Petaluma,CA,90379,Sonoma,(707) 319-3110,2001-09-07,2002-09-07
41-472594,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Sonoma LLC,Jennifer Wilson Wilson,189 Front Dr #922,Sonoma,CA,91641,Sonoma,(707) 360-8200,2004-02-12,2005-02-12
41-674083,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Group,William Smith,5534 State St,Santa Rosa,CA,94209,Sonoma,(707) 372-8811,2017-04-20,2018-04-20
41-958702,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldSpot Inc 10,Matthew Moore,6196 Maple Ln,Santa Rosa,CA,90922,Sonoma,(707) 751-3517,2015-07-10,2016-07-10
41-217582,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Co 26,John Davis,4359 State Dr,Petaluma,CA,91895,Sonoma,(707) 722-9754,2016-04-14,2017-04-14
41-169162,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Christopher Williams,7064 Washington Ave #423,Sonoma,CA,91872,Sonoma,(707) 350-2653,2023-06-25,2024-06-25
