id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
TN-00000,Memphis Tavern,David Wilson,info@memphistavern.com,+1 (555) 896-5165,4104 Main St,Memphis,TN,Memphis County,37671,grill,B,TN_Scraper,"Restaurant,TN,Memphis",2026-05-07T20:48:34.225181,"State Population: 6,910,840"
TN-00001,Memphis Tavern,William Jones,info@memphistavern.com,+1 (555) 152-3641,6777 Oak St,Memphis,TN,Memphis County,46691,grill,B,TN_Scraper,"Restaurant,TN,Memphis",2026-05-07T20:48:34.225215,"State Population: 6,910,840"
TN-00002,Nashville Diner,Barbara Smith,info@nashvillediner.com,+1 (555) 933-7384,425 Main St,Nashville,TN,Nashville County,56364,restaurant,B,TN_Scraper,"Restaurant,TN,Nashville",2026-05-07T20:48:34.225230,"State Population: 6,910,840"
TN-00003,Knoxville Bar,Richard Garcia,info@knoxvillebar.com,+1 (555) 694-2630,3747 Maple St,Knoxville,TN,Knoxville County,44812,grill,B,TN_Scraper,"Restaurant,TN,Knoxville",2026-05-07T20:48:34.225240,"State Population: 6,910,840"
TN-00004,Chattanooga Grill,Michael Jones,info@chattanoogagril.com,+1 (555) 268-1925,8681 Maple St,Chattanooga,TN,Chattanooga County,85561,cafe,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.225249,"State Population: 6,910,840"
TN-00005,Chattanooga Bar,Linda Garcia,info@chattanoogabar.com,+1 (555) 525-2928,4531 Oak St,Chattanooga,TN,Chattanooga County,27846,grill,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.225259,"State Population: 6,910,840"
TN-00006,Chattanooga Bar,Robert Williams,info@chattanoogabar.com,+1 (555) 924-4207,3597 Main St,Chattanooga,TN,Chattanooga County,58305,bar,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.225279,"State Population: 6,910,840"
TN-00007,Knoxville Cafe,William Davis,info@knoxvillecafe.com,+1 (555) 627-6610,5464 Main St,Knoxville,TN,Knoxville County,77607,bar,B,TN_Scraper,"Restaurant,TN,Knoxville",2026-05-07T20:48:34.225290,"State Population: 6,910,840"
TN-00008,Chattanooga Diner,Robert Wilson,info@chattanoogadine.com,+1 (555) 208-7011,5956 Pine St,Chattanooga,TN,Chattanooga County,44896,bar,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.225315,"State Population: 6,910,840"
TN-00009,Chattanooga Grill,Elizabeth Wilson,info@chattanoogagril.com,+1 (555) 767-5793,8155 Elm St,Chattanooga,TN,Chattanooga County,52832,cafe,B,TN_Scraper,"Restaurant,TN,Chattanooga",2026-05-07T20:48:34.225328,"State Population: 6,910,840"
TN-00010,Nashville House,Jennifer Jones,info@nashvillehouse.com,+1 (555) 555-5069,8000 Pine St,Nashville,TN,Nashville County,53387,cafe,B,TN_Scraper,"Restaurant,TN,Nashville",2026-05-07T20:48:34.225338,"State Population: 6,910,840"
