license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
20-599381,20,Off-Sale Beer & Wine,ACTIVE,Siskiyou Cafe LLC,Michelle Garcia,1659 Broad Ct,Siskiyou,CA,94263,Siskiyou,(530) 619-6825,2023-11-02,2024-02-04
75-890780,75,Event Permit Holder,ACTIVE,The Siskiyou Tavern,David Brown,5707 Center Rd,Siskiyou,CA,94570,Siskiyou,(916) 839-3902,2010-08-11,2026-07-16
48-875874,48,On-Sale General - Bar/Tavern,ACTIVE,Siskiyou Tavern Inc,John Hernandez,8584 Center Pl,Siskiyou,CA,90145,Siskiyou,(559) 481-7788,2011-01-09,2024-12-22
41-854044,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Siskiyou Restaurant LLC,Steven Hernandez,3476 Center Way,Siskiyou,CA,90897,Siskiyou,(831) 969-1068,2018-12-19,2024-08-04
75-179826,75,Event Permit Holder,ACTIVE,Siskiyou Cafe,Kenneth Hernandez,2791 Main Ln,Siskiyou,CA,94362,Siskiyou,(760) 700-3593,2021-12-11,2026-08-19
48-353866,48,On-Sale General - Bar/Tavern,ACTIVE,Siskiyou Tavern,John Smith,5243 Center Rd,Siskiyou,CA,94886,Siskiyou,(916) 740-1969,2023-07-03,2026-07-11
41-638929,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Siskiyou Restaurant,William Jackson,9667 Center Ln,Siskiyou,CA,94753,Siskiyou,(442) 546-4396,2010-03-10,2025-02-06
20-970568,20,Off-Sale Beer & Wine,ACTIVE,Siskiyou Restaurant,Jennifer Lopez,2225 Broad Pl,Siskiyou,CA,93184,Siskiyou,(530) 523-2302,2014-08-23,2024-08-14
41-937768,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Siskiyou Tavern LLC,Robert Moore,726 Main Ave,Siskiyou,CA,93259,Siskiyou,(760) 779-1178,2024-02-14,2026-01-08
20-709715,20,Off-Sale Beer & Wine,ACTIVE,Siskiyou Cafe LLC,Kenneth Thomas,9094 Center Rd,Siskiyou,CA,93523,Siskiyou,(831) 854-2894,2024-08-03,2025-09-09
