id,company_name,contact_name,email,phone,address,city,state,county,zip,business_type,priority,source,tags,scraped_at,notes
MS-00000,Gulfport Diner,John Martinez,info@gulfportdiner.com,+1 (555) 837-2996,8340 Maple St,Gulfport,MS,Gulfport County,82738,restaurant,C,MS_Scraper,"Restaurant,MS,Gulfport",2026-05-07T20:48:34.170239,"State Population: 2,961,279"
MS-00001,The Garcia Restaurant,David Taylor,info@thegarciarestau.com,+1 (555) 882-2191,367 Maple St,Hattiesburg,MS,Hattiesburg County,54068,cafe,C,MS_Scraper,"Restaurant,MS,Hattiesburg",2026-05-07T20:48:34.170261,"State Population: 2,961,279"
MS-00002,Biloxi Cafe,Robert Rodriguez,info@biloxicafe.com,+1 (555) 132-7375,9828 Pine St,Biloxi,MS,Biloxi County,28983,restaurant,C,MS_Scraper,"Restaurant,MS,Biloxi",2026-05-07T20:48:34.170275,"State Population: 2,961,279"
MS-00003,Hattiesburg Cafe,Patricia Rodriguez,info@hattiesburgcafe.com,+1 (555) 301-3262,3235 Pine St,Hattiesburg,MS,Hattiesburg County,74844,bar,C,MS_Scraper,"Restaurant,MS,Hattiesburg",2026-05-07T20:48:34.170286,"State Population: 2,961,279"
MS-00004,Jackson Diner,Richard Anderson,info@jacksondiner.com,+1 (555) 715-6928,4043 Main St,Jackson,MS,Jackson County,88134,restaurant,C,MS_Scraper,"Restaurant,MS,Jackson",2026-05-07T20:48:34.170296,"State Population: 2,961,279"
MS-00005,Biloxi Bistro,James Jones,info@biloxibistro.com,+1 (555) 866-4665,760 Pine St,Biloxi,MS,Biloxi County,92270,grill,C,MS_Scraper,"Restaurant,MS,Biloxi",2026-05-07T20:48:34.170306,"State Population: 2,961,279"
MS-00006,The Johnson Restaurant,David Williams,info@thejohnsonresta.com,+1 (555) 989-8658,4756 Main St,Jackson,MS,Jackson County,28518,restaurant,C,MS_Scraper,"Restaurant,MS,Jackson",2026-05-07T20:48:34.170324,"State Population: 2,961,279"
MS-00007,Biloxi Cafe,Robert Davis,info@biloxicafe.com,+1 (555) 606-8664,7799 Pine St,Biloxi,MS,Biloxi County,17192,cafe,C,MS_Scraper,"Restaurant,MS,Biloxi",2026-05-07T20:48:34.170338,"State Population: 2,961,279"
MS-00008,Jackson Pub,Patricia Wilson,info@jacksonpub.com,+1 (555) 803-4245,8160 Pine St,Jackson,MS,Jackson County,71487,cafe,C,MS_Scraper,"Restaurant,MS,Jackson",2026-05-07T20:48:34.170347,"State Population: 2,961,279"
MS-00009,Gulfport Eatery,David Davis,info@gulfporteatery.com,+1 (555) 205-1873,759 Pine St,Gulfport,MS,Gulfport County,76871,cafe,C,MS_Scraper,"Restaurant,MS,Gulfport",2026-05-07T20:48:34.170357,"State Population: 2,961,279"
MS-00010,Gulfport Bar,Barbara Brown,info@gulfportbar.com,+1 (555) 883-9588,2149 Pine St,Gulfport,MS,Gulfport County,31440,grill,C,MS_Scraper,"Restaurant,MS,Gulfport",2026-05-07T20:48:34.170366,"State Population: 2,961,279"
MS-00011,Hattiesburg Pub,John Williams,info@hattiesburgpub.com,+1 (555) 761-3307,8095 Elm St,Hattiesburg,MS,Hattiesburg County,19315,bar,C,MS_Scraper,"Restaurant,MS,Hattiesburg",2026-05-07T20:48:34.170375,"State Population: 2,961,279"
MS-00012,Hattiesburg Kitchen,Susan Rodriguez,info@hattiesburgkitc.com,+1 (555) 648-3013,5749 Oak St,Hattiesburg,MS,Hattiesburg County,43945,grill,C,MS_Scraper,"Restaurant,MS,Hattiesburg",2026-05-07T20:48:34.170385,"State Population: 2,961,279"
MS-00013,Hattiesburg Bistro,Jennifer Wilson,info@hattiesburgbist.com,+1 (555) 633-7549,6311 Pine St,Hattiesburg,MS,Hattiesburg County,73604,restaurant,C,MS_Scraper,"Restaurant,MS,Hattiesburg",2026-05-07T20:48:34.170394,"State Population: 2,961,279"
MS-00014,The Smith Restaurant,Robert Garcia,info@thesmithrestaur.com,+1 (555) 141-5588,2884 Maple St,Biloxi,MS,Biloxi County,28067,cafe,C,MS_Scraper,"Restaurant,MS,Biloxi",2026-05-07T20:48:34.170434,"State Population: 2,961,279"
MS-00015,Jackson Grill,Linda Garcia,info@jacksongrill.com,+1 (555) 846-2476,4974 Oak St,Jackson,MS,Jackson County,98618,bar,C,MS_Scraper,"Restaurant,MS,Jackson",2026-05-07T20:48:34.170447,"State Population: 2,961,279"
MS-00016,The Smith Restaurant,William Davis,info@thesmithrestaur.com,+1 (555) 807-9674,9757 Main St,Hattiesburg,MS,Hattiesburg County,43510,restaurant,C,MS_Scraper,"Restaurant,MS,Hattiesburg",2026-05-07T20:48:34.170460,"State Population: 2,961,279"
MS-00017,Jackson Bistro,Patricia Garcia,info@jacksonbistro.com,+1 (555) 911-9278,4063 Oak St,Jackson,MS,Jackson County,27484,bar,C,MS_Scraper,"Restaurant,MS,Jackson",2026-05-07T20:48:34.170470,"State Population: 2,961,279"
MS-00018,Hattiesburg Grill,Barbara Miller,info@hattiesburggril.com,+1 (555) 141-8137,5042 Pine St,Hattiesburg,MS,Hattiesburg County,29339,bar,C,MS_Scraper,"Restaurant,MS,Hattiesburg",2026-05-07T20:48:34.170479,"State Population: 2,961,279"
MS-00019,Hattiesburg Grill,Elizabeth Miller,info@hattiesburggril.com,+1 (555) 348-9520,3450 Oak St,Hattiesburg,MS,Hattiesburg County,41894,restaurant,C,MS_Scraper,"Restaurant,MS,Hattiesburg",2026-05-07T20:48:34.170487,"State Population: 2,961,279"
