license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-802729,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill San Diego LLC,Michelle Gonzalez,6316 Hollywood Ct,Chula Vista,CA,92656,San Diego,(619) 434-1525,2006-10-23,2007-10-23
41-514850,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot San Diego,Mark Williams,4404 Maple Way #508,Escondido,CA,92965,San Diego,(619) 341-9348,2003-03-21,2004-03-21
41-378085,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Co 20,Michael Johnson,3211 State Dr #693,Escondido,CA,96027,San Diego,(760) 262-6138,2016-09-06,2017-09-06
41-475190,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner San Diego Heights Group,Michelle Wilson Davis,2632 Wilshire Blvd #930,San Diego,CA,91450,San Diego,(858) 225-3938,2008-03-26,2009-03-26
41-805477,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill,Mark Gonzalez,4111 5th Ave,Chula Vista,CA,95159,San Diego,(760) 399-7291,2020-12-01,2021-12-01
41-971084,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Group,Christopher Rodriguez,6309 Front St,Chula Vista,CA,92662,San Diego,(619) 699-4475,2019-12-09,2020-12-09
41-384076,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill,Jennifer Jackson Taylor,2058 Maple Ct #806,Escondido,CA,91516,San Diego,(619) 421-8933,2019-05-04,2020-05-04
41-364742,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,James Moore,9553 Jefferson St,San Diego,CA,94610,San Diego,(858) 287-5066,2019-10-26,2020-10-26
41-356059,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House San Diego,Jennifer Anderson,6367 Washington Dr,Chula Vista,CA,94777,San Diego,(619) 437-8555,2000-08-10,2001-08-10
41-250210,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place San Diego Inc,Michelle Jackson,8791 Pico Way,Chula Vista,CA,92792,San Diego,(619) 578-6105,2001-03-06,2002-03-06
41-720148,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Oceanside Heights Inc,Anthony Jackson,4803 Market Ave,Oceanside,CA,94153,San Diego,(858) 673-1672,2010-10-16,2011-10-16
41-952686,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Inc,David Martinez Brown,3053 Pico Rd #597,Oceanside,CA,91572,San Diego,(619) 340-3538,2016-09-27,2017-09-27
41-350021,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheEatery San Diego 81,Maria Jackson,8543 Lincoln Dr #398,San Diego,CA,93516,San Diego,(619) 829-6780,2021-11-03,2022-11-03
41-787584,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Company 50,Matthew Williams,5654 Sunset Pl,San Diego,CA,93009,San Diego,(760) 473-2353,2005-09-10,2006-09-10
41-443848,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Co,Michael Williams,7372 1st Pl,San Diego,CA,92888,San Diego,(760) 645-5498,2012-06-17,2013-06-17
41-739711,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Christopher Moore Rodriguez,3784 State Ln #806,Oceanside,CA,95775,San Diego,(858) 524-8861,2009-02-19,2010-02-19
41-725920,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place San Diego,William Jones,1487 Maple Ct #348,San Diego,CA,94685,San Diego,(760) 373-7237,2008-08-05,2009-08-05
41-726979,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheTavern Escondido Corp 14,Michelle Wilson,4167 Madison Rd,Escondido,CA,95019,San Diego,(619) 776-7547,2003-05-08,2004-05-08
41-313068,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Carlsbad,Lisa Garcia,4009 Broadway Dr,Carlsbad,CA,93559,San Diego,(619) 664-1901,2022-03-23,2023-03-23
41-694423,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldRestaurant Escondido Co 95,Daniel Jones,8436 Main St #112,Escondido,CA,92003,San Diego,(619) 683-6963,2001-09-26,2002-09-26
41-349556,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen San Diego Co,Jennifer Brown,5600 4th St,San Diego,CA,92044,San Diego,(760) 269-6742,2001-07-15,2002-07-15
41-644932,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Matthew Rodriguez,9383 Lincoln Ave #676,Oceanside,CA,90827,San Diego,(858) 748-6633,2015-10-20,2016-10-20
41-794663,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House LLC,Jennifer Taylor Lopez,1818 6th Ave,San Diego,CA,90870,San Diego,(858) 403-4272,2022-07-10,2023-07-10
41-674295,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Oceanside Company,Anthony Miller,6804 Mission Ln,Oceanside,CA,91536,San Diego,(619) 602-4532,2003-07-02,2004-07-02
41-444295,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Escondido Hills Company,Michelle Thomas,5231 Wilshire Dr #756,Escondido,CA,93572,San Diego,(858) 568-3200,2011-05-16,2012-05-16
41-743852,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner San Diego,Christopher Williams,1592 Ocean Pl #545,Carlsbad,CA,90722,San Diego,(619) 469-4633,2023-07-13,2024-07-13
41-923892,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern Oceanside 8,Daniel Smith,4466 Oak Way,Oceanside,CA,93851,San Diego,(619) 396-5097,2024-12-08,2025-12-08
41-119629,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Chula Vista Hills Co 25,Michelle Brown,8686 Madison Pl #257,Chula Vista,CA,95022,San Diego,(858) 530-7714,2021-02-02,2022-02-02
41-519218,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Carlsbad Heights LLC,Michelle Lopez Wilson,9540 Mission Ln,Carlsbad,CA,94720,San Diego,(858) 280-1916,2013-02-28,2014-02-28
41-699198,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner,Kenneth Miller,8321 3rd Blvd #592,Escondido,CA,94581,San Diego,(619) 699-7476,2023-09-08,2024-09-08
41-745915,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Carlsbad Hills Co,Anthony Wilson Johnson,7874 Broadway Blvd,Carlsbad,CA,95138,San Diego,(858) 749-6490,2016-05-19,2017-05-19
