license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
75-906264,75,Event Permit Holder,ACTIVE,The Mono Cafe,Daniel Moore,1201 Broad Pl,Mono,CA,92056,Mono,(831) 260-3300,2018-03-13,2025-03-25
21-592328,21,Off-Sale General,ACTIVE,The Mono Cafe LLC,John Miller,8268 Broad Ct,Mono,CA,90005,Mono,(760) 382-4737,2012-09-04,2025-05-15
41-805195,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Mono Restaurant Inc,Kenneth Jones,9037 Broad Ln,Mono,CA,95164,Mono,(209) 975-4336,2015-08-27,2025-12-17
20-444656,20,Off-Sale Beer & Wine,ACTIVE,Mono Tavern LLC,James Wilson,331 Center Ave,Mono,CA,91597,Mono,(707) 749-9175,2011-06-24,2025-05-10
48-364881,48,On-Sale General - Bar/Tavern,ACTIVE,The Mono Tavern Inc,Daniel Smith,760 Center Blvd,Mono,CA,94367,Mono,(916) 367-7376,2024-01-15,2025-08-01
21-233644,21,Off-Sale General,ACTIVE,Mono Cafe,Steven Moore,788 Broad Pl,Mono,CA,90715,Mono,(707) 448-4242,2013-01-14,2025-06-09
58-961942,58,Caterer's Beer & Wine,ACTIVE,The Mono Cafe LLC,James Jackson,2716 Main Pl,Mono,CA,94680,Mono,(707) 445-2820,2023-06-28,2026-07-15
41-505030,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mono Market,Robert Taylor,5656 Main Dr,Mono,CA,90118,Mono,(916) 864-7757,2017-07-05,2024-06-23
21-409182,21,Off-Sale General,ACTIVE,Mono Market Inc,William Miller,558 Broad Dr,Mono,CA,91157,Mono,(760) 273-2420,2020-06-26,2026-09-21
21-516588,21,Off-Sale General,ACTIVE,The Mono Tavern LLC,John Anderson,413 Main Ct,Mono,CA,94287,Mono,(916) 414-6524,2021-05-04,2026-02-27
75-561465,75,Event Permit Holder,ACTIVE,Mono Cafe,Michael Garcia,1663 Center Ln,Mono,CA,92361,Mono,(916) 326-8535,2016-06-12,2024-02-09
47-177002,47,On-Sale General - Restaurant,ACTIVE,Mono Tavern LLC,William Anderson,7087 Center Way,Mono,CA,96018,Mono,(707) 354-7609,2024-04-07,2024-09-21
58-786354,58,Caterer's Beer & Wine,ACTIVE,Mono Bar LLC,Maria Martinez,5245 Main Ave,Mono,CA,92473,Mono,(916) 215-6854,2023-11-03,2024-08-04
48-371422,48,On-Sale General - Bar/Tavern,ACTIVE,Mono Tavern LLC,Steven Taylor,2519 Main St,Mono,CA,94154,Mono,(530) 447-8697,2022-02-07,2025-12-03
75-405115,75,Event Permit Holder,ACTIVE,Mono Bar Inc,William Garcia,3152 Broad Ave,Mono,CA,93724,Mono,(209) 292-8830,2016-07-17,2025-09-09
58-927375,58,Caterer's Beer & Wine,ACTIVE,Mono Cafe,Matthew Martin,4443 Broad Ct,Mono,CA,92227,Mono,(831) 520-7423,2017-12-05,2024-01-19
41-959816,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mono Cafe LLC,Christopher Rodriguez,338 Center Pl,Mono,CA,90750,Mono,(209) 273-5622,2020-03-28,2026-05-28
21-606522,21,Off-Sale General,ACTIVE,Mono Cafe Inc,Robert Williams,2948 Main St,Mono,CA,90052,Mono,(209) 960-5139,2011-04-21,2025-02-02
75-685840,75,Event Permit Holder,ACTIVE,Mono Restaurant Inc,David Wilson,8023 Main Ave,Mono,CA,90571,Mono,(916) 403-3690,2019-11-21,2025-05-02
21-275315,21,Off-Sale General,ACTIVE,Mono Market Inc,Maria Gonzalez,5678 Broad Ct,Mono,CA,90029,Mono,(209) 467-6834,2023-02-18,2026-09-21
58-314613,58,Caterer's Beer & Wine,ACTIVE,The Mono Tavern LLC,Paul Rodriguez,3882 Main Ave,Mono,CA,93604,Mono,(707) 379-8623,2013-02-05,2025-06-25
47-356481,47,On-Sale General - Restaurant,ACTIVE,The Mono Restaurant LLC,Michael Johnson,2599 Broad Ct,Mono,CA,92584,Mono,(442) 617-2522,2015-01-24,2026-04-18
75-231270,75,Event Permit Holder,ACTIVE,Mono Bar LLC,John Martin,6069 Center Pl,Mono,CA,95837,Mono,(760) 607-4169,2011-09-11,2025-02-28
47-348397,47,On-Sale General - Restaurant,ACTIVE,The Mono Tavern LLC,Daniel Lopez,1125 Center Rd,Mono,CA,93050,Mono,(760) 630-5672,2018-09-09,2026-02-13
