license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-792924,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Tavern Inc,Steven Brown,6417 Broad Ct,Modoc,CA,92708,Modoc,(707) 948-2850,2023-03-11,2026-01-21
47-866065,47,On-Sale General - Restaurant,ACTIVE,The Modoc Market,Mark Anderson,9412 Broad Blvd,Modoc,CA,90081,Modoc,(707) 242-2611,2018-11-27,2026-06-18
20-835292,20,Off-Sale Beer & Wine,ACTIVE,The Modoc Market,Jennifer Martinez,6455 Main Ln,Modoc,CA,93495,Modoc,(530) 608-2309,2010-06-22,2026-04-26
20-885577,20,Off-Sale Beer & Wine,ACTIVE,Modoc Cafe Inc,Kenneth Lopez,7575 Center Blvd,Modoc,CA,90477,Modoc,(831) 673-8454,2012-10-16,2025-10-28
20-787976,20,Off-Sale Beer & Wine,ACTIVE,The Modoc Restaurant LLC,David Garcia,966 Main Ave,Modoc,CA,94280,Modoc,(760) 731-9484,2010-03-08,2025-01-11
47-717334,47,On-Sale General - Restaurant,ACTIVE,Modoc Tavern LLC,Kenneth Smith,583 Center Way,Modoc,CA,90518,Modoc,(209) 947-5705,2022-10-16,2024-03-21
20-874849,20,Off-Sale Beer & Wine,ACTIVE,The Modoc Market Inc,John Anderson,9404 Center St,Modoc,CA,94692,Modoc,(916) 798-7779,2021-08-07,2024-07-07
41-214556,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Market Inc,David Wilson,5041 Main Way,Modoc,CA,91664,Modoc,(707) 386-3151,2018-07-11,2024-07-25
75-179814,75,Event Permit Holder,ACTIVE,Modoc Cafe Inc,Paul Gonzalez,4191 Broad Ct,Modoc,CA,91783,Modoc,(559) 236-6905,2013-11-25,2026-03-05
58-782755,58,Caterer's Beer & Wine,ACTIVE,Modoc Tavern LLC,Matthew Jackson,1308 Center Way,Modoc,CA,92285,Modoc,(707) 776-9596,2014-03-13,2026-12-22
47-203579,47,On-Sale General - Restaurant,ACTIVE,The Modoc Market,Michael Brown,6408 Broad Blvd,Modoc,CA,91120,Modoc,(442) 598-7818,2012-08-08,2025-04-01
47-109129,47,On-Sale General - Restaurant,ACTIVE,Modoc Restaurant,John Johnson,8489 Broad Dr,Modoc,CA,96088,Modoc,(209) 999-9926,2017-11-13,2025-06-25
20-815077,20,Off-Sale Beer & Wine,ACTIVE,Modoc Cafe LLC,Lisa Smith,6607 Broad Rd,Modoc,CA,91710,Modoc,(831) 303-7154,2023-01-16,2025-07-02
47-166786,47,On-Sale General - Restaurant,ACTIVE,Modoc Bar,Christopher Jones,9165 Main Rd,Modoc,CA,91414,Modoc,(530) 210-6743,2010-04-17,2025-12-03
75-766477,75,Event Permit Holder,ACTIVE,Modoc Restaurant Inc,Christopher Martinez,8422 Broad Ln,Modoc,CA,95550,Modoc,(530) 605-8550,2012-02-10,2026-11-05
75-869227,75,Event Permit Holder,ACTIVE,Modoc Cafe LLC,Robert Gonzalez,8330 Broad Dr,Modoc,CA,91107,Modoc,(916) 330-7167,2021-02-10,2025-12-27
41-982750,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Modoc Tavern Inc,Maria Williams,5000 Center Dr,Modoc,CA,95050,Modoc,(209) 290-2045,2020-08-27,2024-10-17
47-313834,47,On-Sale General - Restaurant,ACTIVE,The Modoc Restaurant LLC,James Brown,5600 Broad Way,Modoc,CA,92074,Modoc,(760) 387-4889,2017-04-21,2024-01-18
48-354221,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Restaurant LLC,Matthew Gonzalez,3445 Broad Ct,Modoc,CA,90282,Modoc,(831) 541-1680,2022-05-23,2026-07-21
48-803288,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Bar Inc,Maria Garcia,9068 Main Ave,Modoc,CA,93340,Modoc,(559) 709-5030,2013-11-06,2025-11-22
75-984728,75,Event Permit Holder,ACTIVE,Modoc Market Inc,John Williams,1655 Broad St,Modoc,CA,91346,Modoc,(530) 442-5830,2024-08-27,2026-02-07
58-873359,58,Caterer's Beer & Wine,ACTIVE,The Modoc Tavern Inc,Robert Johnson,6180 Broad Dr,Modoc,CA,94899,Modoc,(707) 604-6450,2014-05-21,2026-12-11
41-988877,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Bar Inc,Andrew Taylor,1647 Main Pl,Modoc,CA,94687,Modoc,(559) 244-8518,2022-08-15,2025-01-07
21-549070,21,Off-Sale General,ACTIVE,Modoc Market,Robert Johnson,2666 Main Way,Modoc,CA,93016,Modoc,(559) 725-4695,2017-08-06,2026-09-15
75-458213,75,Event Permit Holder,ACTIVE,The Modoc Bar Inc,Lisa Davis,6130 Center St,Modoc,CA,94695,Modoc,(442) 676-8856,2017-02-08,2026-08-08
47-194363,47,On-Sale General - Restaurant,ACTIVE,The Modoc Tavern LLC,Lisa Gonzalez,678 Main Ave,Modoc,CA,91753,Modoc,(760) 801-1057,2018-01-08,2024-10-23
75-872405,75,Event Permit Holder,ACTIVE,The Modoc Tavern,Daniel Brown,1489 Center Ave,Modoc,CA,94519,Modoc,(916) 306-6511,2010-07-23,2026-12-27
21-692245,21,Off-Sale General,ACTIVE,Modoc Tavern Inc,Steven Taylor,4620 Main Pl,Modoc,CA,92459,Modoc,(209) 383-6323,2011-01-06,2025-05-19
20-109204,20,Off-Sale Beer & Wine,ACTIVE,Modoc Bar Inc,Steven Garcia,3511 Broad Dr,Modoc,CA,92307,Modoc,(760) 260-4712,2010-10-21,2026-10-11
20-158245,20,Off-Sale Beer & Wine,ACTIVE,Modoc Tavern Inc,Michael Davis,8937 Main Ct,Modoc,CA,92746,Modoc,(831) 226-2680,2024-10-13,2025-03-05
47-144596,47,On-Sale General - Restaurant,ACTIVE,The Modoc Market LLC,Anthony Hernandez,5013 Main Ave,Modoc,CA,91735,Modoc,(916) 389-3287,2020-07-04,2024-02-28
48-183479,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Bar,Robert Garcia,457 Broad Pl,Modoc,CA,90562,Modoc,(707) 308-4286,2018-09-25,2025-05-23
20-975224,20,Off-Sale Beer & Wine,ACTIVE,Modoc Tavern,Mark Smith,5212 Center Ln,Modoc,CA,95502,Modoc,(442) 850-4021,2017-06-25,2026-03-22
75-860971,75,Event Permit Holder,ACTIVE,The Modoc Market LLC,Lisa Garcia,2178 Center Ave,Modoc,CA,95345,Modoc,(559) 709-5681,2024-10-03,2025-08-04
21-453996,21,Off-Sale General,ACTIVE,Modoc Restaurant,William Hernandez,4653 Center Blvd,Modoc,CA,91280,Modoc,(442) 350-3228,2022-12-14,2026-05-01
41-837187,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Tavern LLC,Maria Miller,1066 Main Blvd,Modoc,CA,91870,Modoc,(760) 915-1350,2021-07-28,2024-03-03
48-938726,48,On-Sale General - Bar/Tavern,ACTIVE,The Modoc Restaurant LLC,Robert Hernandez,4478 Center Dr,Modoc,CA,95786,Modoc,(707) 268-5632,2019-12-06,2026-07-16
75-573235,75,Event Permit Holder,ACTIVE,Modoc Tavern,Robert Hernandez,305 Main St,Modoc,CA,93815,Modoc,(559) 330-1268,2016-12-20,2026-02-08
21-569507,21,Off-Sale General,ACTIVE,Modoc Cafe,Anthony Martinez,8745 Main Pl,Modoc,CA,96102,Modoc,(707) 446-4982,2013-06-19,2026-12-05
47-969842,47,On-Sale General - Restaurant,ACTIVE,Modoc Tavern Inc,Matthew Jackson,8978 Main Ct,Modoc,CA,96006,Modoc,(760) 849-8154,2021-07-13,2025-04-10
58-938706,58,Caterer's Beer & Wine,ACTIVE,Modoc Restaurant LLC,Maria Garcia,7809 Broad Blvd,Modoc,CA,91994,Modoc,(530) 379-1111,2024-08-13,2026-03-25
58-936767,58,Caterer's Beer & Wine,ACTIVE,The Modoc Tavern Inc,James Moore,7823 Center Rd,Modoc,CA,96143,Modoc,(916) 464-9353,2016-05-01,2025-06-27
20-963272,20,Off-Sale Beer & Wine,ACTIVE,The Modoc Tavern,Matthew Moore,4850 Main St,Modoc,CA,94097,Modoc,(209) 790-4794,2017-06-21,2026-05-08
41-272283,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Modoc Tavern LLC,Mark Martin,3365 Broad Ct,Modoc,CA,94004,Modoc,(530) 934-7188,2022-04-21,2025-05-21
48-927262,48,On-Sale General - Bar/Tavern,ACTIVE,The Modoc Bar LLC,David Brown,9452 Broad Way,Modoc,CA,92990,Modoc,(442) 911-1333,2014-12-15,2026-12-28
20-416200,20,Off-Sale Beer & Wine,ACTIVE,Modoc Bar LLC,Michelle Brown,6218 Main Pl,Modoc,CA,91665,Modoc,(916) 312-2475,2013-08-08,2026-05-18
75-726830,75,Event Permit Holder,ACTIVE,Modoc Restaurant LLC,John Hernandez,5100 Broad St,Modoc,CA,90136,Modoc,(559) 643-5296,2017-02-19,2025-08-21
20-903349,20,Off-Sale Beer & Wine,ACTIVE,Modoc Market LLC,Michael Brown,6849 Main Dr,Modoc,CA,96094,Modoc,(530) 740-2949,2023-09-21,2024-05-09
41-113416,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Modoc Restaurant LLC,David Wilson,9601 Main Dr,Modoc,CA,90475,Modoc,(442) 477-2734,2022-07-19,2026-09-16
48-889418,48,On-Sale General - Bar/Tavern,ACTIVE,The Modoc Restaurant LLC,James Jackson,3619 Main Blvd,Modoc,CA,91811,Modoc,(707) 511-4830,2014-04-05,2024-07-21
48-485671,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Restaurant,Christopher Hernandez,5724 Center Ct,Modoc,CA,93052,Modoc,(916) 226-1332,2023-11-20,2024-01-03
48-228416,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Cafe LLC,Christopher Davis,337 Broad Ct,Modoc,CA,91313,Modoc,(559) 215-4927,2023-04-14,2026-02-12
41-248170,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Cafe LLC,Paul Smith,7061 Center Rd,Modoc,CA,92781,Modoc,(442) 684-6706,2021-02-08,2024-06-06
20-845780,20,Off-Sale Beer & Wine,ACTIVE,Modoc Restaurant,William Smith,7589 Main Blvd,Modoc,CA,90946,Modoc,(707) 209-3613,2023-07-22,2024-05-08
48-548703,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Market LLC,Andrew Jackson,5980 Main Rd,Modoc,CA,91729,Modoc,(707) 242-5873,2010-05-23,2024-11-13
20-843546,20,Off-Sale Beer & Wine,ACTIVE,Modoc Tavern LLC,Jennifer Jackson,1234 Center Dr,Modoc,CA,95842,Modoc,(442) 946-3606,2013-11-08,2024-03-10
75-582378,75,Event Permit Holder,ACTIVE,Modoc Market Inc,Daniel Thomas,8449 Center Way,Modoc,CA,90895,Modoc,(707) 901-8434,2018-04-24,2025-06-02
58-574317,58,Caterer's Beer & Wine,ACTIVE,Modoc Cafe,Mark Martinez,7265 Broad Pl,Modoc,CA,91295,Modoc,(442) 431-9995,2020-12-19,2026-08-02
20-187915,20,Off-Sale Beer & Wine,ACTIVE,Modoc Cafe LLC,Matthew Moore,5221 Center Ave,Modoc,CA,95201,Modoc,(442) 353-2314,2017-05-20,2024-11-21
41-296136,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Market LLC,Steven Brown,9967 Broad Way,Modoc,CA,94959,Modoc,(760) 487-5355,2011-05-04,2024-10-05
41-488950,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Modoc Tavern LLC,Matthew Moore,1184 Main Blvd,Modoc,CA,93752,Modoc,(916) 750-8827,2021-03-15,2024-12-21
21-958679,21,Off-Sale General,ACTIVE,The Modoc Market LLC,Steven Rodriguez,3448 Main Way,Modoc,CA,91052,Modoc,(831) 440-5660,2010-06-23,2025-03-05
41-727603,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Tavern,Steven Hernandez,2030 Main Dr,Modoc,CA,95205,Modoc,(559) 350-6318,2015-10-22,2026-04-12
20-459780,20,Off-Sale Beer & Wine,ACTIVE,Modoc Tavern,Paul Wilson,1013 Center St,Modoc,CA,92913,Modoc,(530) 841-8641,2021-05-19,2024-11-16
41-834501,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Restaurant LLC,William Hernandez,4205 Center Ct,Modoc,CA,90635,Modoc,(707) 342-7800,2017-07-20,2024-07-04
47-372858,47,On-Sale General - Restaurant,ACTIVE,Modoc Bar LLC,Maria Martin,5971 Broad Pl,Modoc,CA,94568,Modoc,(707) 652-5609,2024-02-27,2026-05-11
47-540488,47,On-Sale General - Restaurant,ACTIVE,The Modoc Tavern Inc,Maria Moore,5906 Broad Blvd,Modoc,CA,91863,Modoc,(209) 538-8137,2010-03-12,2024-07-22
20-950833,20,Off-Sale Beer & Wine,ACTIVE,Modoc Market LLC,Christopher Wilson,9175 Main Way,Modoc,CA,95721,Modoc,(831) 512-4160,2010-10-07,2026-06-11
48-622727,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Bar LLC,Matthew Taylor,1064 Broad Ave,Modoc,CA,92981,Modoc,(831) 621-4386,2015-04-06,2026-12-06
58-225341,58,Caterer's Beer & Wine,ACTIVE,Modoc Market LLC,James Thomas,9429 Center St,Modoc,CA,90926,Modoc,(209) 747-9066,2015-09-07,2025-01-06
75-918095,75,Event Permit Holder,ACTIVE,The Modoc Cafe Inc,Mark Gonzalez,8330 Center Way,Modoc,CA,90631,Modoc,(707) 366-8318,2024-11-10,2024-09-04
47-545434,47,On-Sale General - Restaurant,ACTIVE,The Modoc Cafe LLC,Matthew Williams,1773 Main Dr,Modoc,CA,95622,Modoc,(209) 356-8620,2020-05-18,2024-12-17
47-687807,47,On-Sale General - Restaurant,ACTIVE,The Modoc Market LLC,John Thomas,6445 Main St,Modoc,CA,93039,Modoc,(530) 512-1478,2014-01-26,2024-08-15
47-392318,47,On-Sale General - Restaurant,ACTIVE,The Modoc Bar Inc,Matthew Brown,4313 Main Dr,Modoc,CA,93951,Modoc,(559) 894-3697,2014-07-17,2026-03-12
20-427809,20,Off-Sale Beer & Wine,ACTIVE,Modoc Market Inc,Robert Smith,7721 Broad Ln,Modoc,CA,91180,Modoc,(559) 908-8131,2012-12-19,2024-12-09
20-589909,20,Off-Sale Beer & Wine,ACTIVE,The Modoc Restaurant LLC,David Martin,5827 Broad Blvd,Modoc,CA,95445,Modoc,(209) 605-3366,2020-03-28,2026-07-16
75-390036,75,Event Permit Holder,ACTIVE,The Modoc Cafe Inc,Michelle Jackson,3730 Center St,Modoc,CA,93233,Modoc,(707) 966-1559,2013-01-26,2024-10-07
58-817194,58,Caterer's Beer & Wine,ACTIVE,Modoc Cafe Inc,Jennifer Martinez,1251 Main Way,Modoc,CA,93469,Modoc,(559) 519-5764,2020-06-05,2026-08-25
41-581924,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Modoc Restaurant Inc,Matthew Anderson,4107 Center Way,Modoc,CA,94694,Modoc,(209) 641-1339,2017-06-24,2026-09-13
41-767983,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Restaurant LLC,Maria Thomas,1678 Main Way,Modoc,CA,91029,Modoc,(916) 974-4266,2020-04-16,2026-09-20
47-410560,47,On-Sale General - Restaurant,ACTIVE,The Modoc Restaurant LLC,Maria Thomas,641 Center Dr,Modoc,CA,94774,Modoc,(559) 921-7236,2021-05-14,2026-05-20
75-731585,75,Event Permit Holder,ACTIVE,Modoc Tavern Inc,Maria Gonzalez,820 Center Blvd,Modoc,CA,94574,Modoc,(760) 401-3381,2011-01-12,2024-06-05
48-192714,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Market,William Rodriguez,9164 Main Ln,Modoc,CA,90230,Modoc,(442) 241-7302,2020-01-15,2026-01-06
41-149467,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Tavern,Andrew Davis,2659 Center Pl,Modoc,CA,92992,Modoc,(760) 283-2219,2014-06-08,2025-10-02
20-444973,20,Off-Sale Beer & Wine,ACTIVE,Modoc Tavern,James Lopez,3444 Center Pl,Modoc,CA,94020,Modoc,(530) 210-5595,2021-04-10,2025-08-20
21-385133,21,Off-Sale General,ACTIVE,The Modoc Tavern,Mark Gonzalez,2756 Center Blvd,Modoc,CA,93793,Modoc,(209) 413-3540,2011-09-25,2025-05-08
21-482834,21,Off-Sale General,ACTIVE,Modoc Restaurant LLC,Maria Rodriguez,9451 Main Way,Modoc,CA,93849,Modoc,(831) 876-2513,2024-07-24,2026-09-19
41-402193,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Modoc Bar LLC,Christopher Martin,3561 Center Dr,Modoc,CA,92035,Modoc,(442) 827-5261,2024-07-21,2026-12-11
47-751048,47,On-Sale General - Restaurant,ACTIVE,Modoc Cafe,David Johnson,3348 Center Dr,Modoc,CA,92833,Modoc,(760) 373-9694,2016-11-04,2025-11-11
20-651966,20,Off-Sale Beer & Wine,ACTIVE,The Modoc Tavern,Michael Gonzalez,1455 Main Ave,Modoc,CA,91020,Modoc,(442) 379-1504,2013-09-25,2026-04-05
21-761507,21,Off-Sale General,ACTIVE,Modoc Bar,Paul Gonzalez,7753 Main Ln,Modoc,CA,91361,Modoc,(209) 856-7068,2015-07-19,2025-12-03
48-972882,48,On-Sale General - Bar/Tavern,ACTIVE,The Modoc Tavern LLC,Paul Martin,3382 Center Dr,Modoc,CA,90356,Modoc,(916) 711-9030,2010-12-20,2024-05-04
75-699356,75,Event Permit Holder,ACTIVE,Modoc Bar LLC,Kenneth Gonzalez,6623 Main Ave,Modoc,CA,95231,Modoc,(831) 654-8731,2019-09-15,2026-05-02
48-988984,48,On-Sale General - Bar/Tavern,ACTIVE,Modoc Market LLC,Michelle Rodriguez,9939 Broad Ln,Modoc,CA,92174,Modoc,(442) 474-6276,2010-11-12,2025-03-28
47-538643,47,On-Sale General - Restaurant,ACTIVE,Modoc Restaurant LLC,Daniel Gonzalez,5131 Broad Way,Modoc,CA,91070,Modoc,(442) 506-3655,2012-07-10,2024-07-06
41-212788,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Modoc Tavern Inc,Daniel Wilson,9003 Center Dr,Modoc,CA,93407,Modoc,(209) 881-6268,2018-09-09,2024-09-07
75-801906,75,Event Permit Holder,ACTIVE,The Modoc Bar,William Rodriguez,7202 Main Way,Modoc,CA,93501,Modoc,(442) 990-6340,2012-04-09,2024-09-01
20-256463,20,Off-Sale Beer & Wine,ACTIVE,Modoc Restaurant Inc,Michael Gonzalez,9853 Main St,Modoc,CA,90858,Modoc,(707) 249-7457,2021-04-05,2024-09-06
47-694439,47,On-Sale General - Restaurant,ACTIVE,Modoc Bar Inc,Michelle Lopez,524 Main Ct,Modoc,CA,95861,Modoc,(831) 950-9962,2018-12-13,2024-11-05
20-465456,20,Off-Sale Beer & Wine,ACTIVE,Modoc Market LLC,Matthew Johnson,5579 Broad Pl,Modoc,CA,95146,Modoc,(831) 528-3564,2013-03-17,2026-09-13
47-569119,47,On-Sale General - Restaurant,ACTIVE,The Modoc Tavern Inc,John Jones,3332 Center Ave,Modoc,CA,95214,Modoc,(559) 786-1059,2015-04-08,2025-04-22
