license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-335113,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldSpot Inc 26,Anthony Rodriguez,433 Washington Blvd,Tulare,CA,93879,Tulare,(559) 777-4571,2005-10-20,2006-10-20
41-962570,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldBistro Tulare Inc 39,Maria Jackson,628 4th Ln,Porterville,CA,90712,Tulare,(559) 320-4882,2022-10-21,2023-10-21
41-470281,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewSpot Tulare Inc 93,Anthony Gonzalez,9260 Lincoln Rd,Tulare,CA,92265,Tulare,(559) 820-4187,2008-03-14,2009-03-14
41-195071,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldKitchen Porterville Group 23,Mark Williams Anderson,9184 Broadway Way,Porterville,CA,92448,Tulare,(559) 309-6886,2023-04-05,2024-04-05
41-485957,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner LLC,Matthew Wilson,6823 Franklin Ct #511,Visalia,CA,91024,Tulare,(559) 413-7648,2014-08-13,2015-08-13
41-946541,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Co,Christopher Jackson,9155 Jefferson Pl,Porterville,CA,94277,Tulare,(559) 348-9769,2018-04-05,2019-04-05
41-946214,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Corp,Steven Garcia,7158 Madison Blvd,Tulare,CA,93827,Tulare,(559) 727-8548,2013-01-27,2014-01-27
41-601501,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Porterville Heights,Maria Miller,1742 Lincoln Blvd,Porterville,CA,94943,Tulare,(559) 642-9009,2004-12-23,2005-12-23
41-858884,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery,Michael Martinez,5938 1st Dr #164,Tulare,CA,92627,Tulare,(559) 239-4109,2014-08-18,2015-08-18
41-386764,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place 57,Michelle Anderson,646 3rd St,Visalia,CA,94581,Tulare,(559) 689-4751,2003-12-04,2004-12-04
41-189208,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Tulare 38,Maria Rodriguez Rodriguez,685 Front St,Tulare,CA,95916,Tulare,(559) 362-1375,2018-06-14,2019-06-14
