license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-169113,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Corp,Daniel Jones,9974 Ocean Rd,Daly City,CA,95436,San Mateo,(650) 558-6082,2002-05-18,2003-05-18
41-655178,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen San Mateo Inc 67,Mark Miller,6440 7th Ave,Redwood City,CA,92132,San Mateo,(415) 419-5678,2002-08-06,2003-08-06
41-905077,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Redwood City Corp,Maria Moore,5386 Franklin Dr,Redwood City,CA,94250,San Mateo,(415) 280-5105,2020-05-20,2021-05-20
41-147440,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Corp,Robert Brown,1304 2nd Ct,Daly City,CA,94504,San Mateo,(415) 838-2946,2010-09-12,2011-09-12
41-911131,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen 30,Maria Williams,5929 7th Way,South San Francisco,CA,95568,San Mateo,(415) 287-5839,2004-07-23,2005-07-23
41-875584,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Redwood City,Steven Moore,5996 Oak Ln,Redwood City,CA,90715,San Mateo,(650) 641-8353,2003-01-03,2004-01-03
41-866437,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern San Mateo Company,Kenneth Thomas,7139 Pico Pl,San Mateo,CA,92323,San Mateo,(415) 760-3139,2021-01-02,2022-01-02
41-262959,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Company,William Martinez Martin,5970 Oak Dr,San Mateo,CA,93795,San Mateo,(415) 322-2481,2001-04-27,2002-04-27
41-797860,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Redwood City Corp,Andrew Davis,129 Franklin Way #889,Redwood City,CA,94648,San Mateo,(650) 386-6213,2003-08-05,2004-08-05
41-817712,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Inc 6,Paul Taylor,1137 Hollywood Rd,San Mateo,CA,95553,San Mateo,(650) 885-6542,2019-02-14,2020-02-14
41-182216,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewEatery San Mateo Co 54,Lisa Rodriguez,9465 2nd Ave,South San Francisco,CA,92814,San Mateo,(650) 521-6191,2012-05-15,2013-05-15
41-884225,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldPlace 94,Daniel Brown,3944 Madison Ln #817,Daly City,CA,96141,San Mateo,(650) 415-3734,2015-09-02,2016-09-02
41-764678,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot San Mateo,David Davis,5454 6th Dr,San Mateo,CA,95518,San Mateo,(415) 656-9269,2012-03-05,2013-03-05
41-123572,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Daly City Hills,James Smith Moore,8820 Front Pl,Daly City,CA,92233,San Mateo,(650) 361-5483,2016-02-07,2017-02-07
41-144582,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,James Martin,7785 Mission Ln,South San Francisco,CA,92471,San Mateo,(650) 972-2581,2006-03-22,2007-03-22
41-684195,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner,Lisa Wilson,4746 4th Ln,Daly City,CA,93636,San Mateo,(650) 767-7672,2002-08-22,2003-08-22
41-183985,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Daly City Group,Michelle Anderson,2727 Franklin Ln,Daly City,CA,92882,San Mateo,(415) 816-9973,2024-01-21,2025-01-21
41-963617,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House,Robert Lopez,3465 1st Blvd #825,San Mateo,CA,93616,San Mateo,(415) 950-2626,2004-02-28,2005-02-28
41-530016,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Michael Smith,537 Market Pl,Daly City,CA,96110,San Mateo,(415) 399-7499,2022-03-11,2023-03-11
41-260952,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Daly City,Anthony Johnson,882 Jefferson Ct,Daly City,CA,95868,San Mateo,(650) 599-6051,2001-07-25,2002-07-25
