license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
47-968420,47,On-Sale General - Restaurant,ACTIVE,Plumas Restaurant,Anthony Miller,3693 Broad Dr,Plumas,CA,92379,Plumas,(707) 491-2084,2011-11-11,2024-11-01
41-980544,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Plumas Market,Paul Smith,9938 Broad Dr,Plumas,CA,90169,Plumas,(831) 334-9399,2016-02-27,2025-01-03
48-840926,48,On-Sale General - Bar/Tavern,ACTIVE,Plumas Restaurant,Daniel Rodriguez,2630 Main Ln,Plumas,CA,94872,Plumas,(916) 732-2227,2022-03-23,2026-09-15
20-721689,20,Off-Sale Beer & Wine,ACTIVE,Plumas Cafe Inc,Kenneth Garcia,7914 Main Blvd,Plumas,CA,90317,Plumas,(760) 708-1763,2024-06-03,2026-08-10
47-285165,47,On-Sale General - Restaurant,ACTIVE,Plumas Restaurant LLC,Michael Moore,6100 Center Pl,Plumas,CA,95513,Plumas,(209) 959-3309,2016-05-17,2024-06-09
48-370836,48,On-Sale General - Bar/Tavern,ACTIVE,Plumas Cafe Inc,Daniel Williams,2425 Main Way,Plumas,CA,93670,Plumas,(916) 616-5859,2019-06-05,2024-08-10
21-719273,21,Off-Sale General,ACTIVE,The Plumas Cafe Inc,Lisa Gonzalez,7737 Center Dr,Plumas,CA,90886,Plumas,(916) 817-7362,2012-10-04,2024-06-22
21-171665,21,Off-Sale General,ACTIVE,Plumas Market LLC,Robert Jackson,4517 Center Pl,Plumas,CA,91062,Plumas,(530) 743-2812,2021-02-16,2024-06-19
47-893889,47,On-Sale General - Restaurant,ACTIVE,Plumas Market LLC,Michelle Johnson,8869 Center Rd,Plumas,CA,93255,Plumas,(760) 276-3526,2024-08-18,2025-10-26
21-366399,21,Off-Sale General,ACTIVE,Plumas Tavern Inc,Robert Hernandez,4031 Broad Pl,Plumas,CA,90964,Plumas,(831) 966-2773,2017-11-01,2024-12-13
48-411315,48,On-Sale General - Bar/Tavern,ACTIVE,Plumas Restaurant,Maria Wilson,5139 Center Ct,Plumas,CA,91153,Plumas,(442) 672-1178,2017-04-02,2025-02-08
48-484798,48,On-Sale General - Bar/Tavern,ACTIVE,Plumas Restaurant LLC,Christopher Moore,5544 Broad Ct,Plumas,CA,92530,Plumas,(530) 378-7613,2011-10-13,2024-07-02
41-490618,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Plumas Cafe Inc,Lisa Anderson,9729 Main Pl,Plumas,CA,93392,Plumas,(831) 577-2643,2010-09-23,2024-10-14
48-360169,48,On-Sale General - Bar/Tavern,ACTIVE,The Plumas Market Inc,Anthony Williams,6462 Center Ln,Plumas,CA,92550,Plumas,(559) 696-6202,2016-01-24,2024-09-26
20-629278,20,Off-Sale Beer & Wine,ACTIVE,Plumas Restaurant LLC,John Moore,4216 Broad Dr,Plumas,CA,90435,Plumas,(707) 530-2191,2016-05-27,2024-04-27
75-489814,75,Event Permit Holder,ACTIVE,The Plumas Tavern,Christopher Gonzalez,4526 Main St,Plumas,CA,94691,Plumas,(760) 875-1728,2010-10-24,2024-12-21
20-666618,20,Off-Sale Beer & Wine,ACTIVE,Plumas Cafe Inc,Anthony Williams,3220 Main St,Plumas,CA,92191,Plumas,(916) 786-1636,2010-09-21,2026-02-06
41-109170,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Plumas Cafe LLC,David Lopez,4997 Center Blvd,Plumas,CA,90607,Plumas,(530) 275-7936,2024-08-10,2024-01-06
75-120139,75,Event Permit Holder,ACTIVE,Plumas Tavern Inc,Robert Hernandez,4661 Main Pl,Plumas,CA,94297,Plumas,(916) 278-9761,2014-04-09,2026-08-08
21-735586,21,Off-Sale General,ACTIVE,Plumas Tavern,Anthony Hernandez,3009 Broad Ln,Plumas,CA,96102,Plumas,(442) 805-1887,2017-07-01,2026-06-16
47-595294,47,On-Sale General - Restaurant,ACTIVE,Plumas Bar Inc,Michelle Jackson,7284 Main Dr,Plumas,CA,94688,Plumas,(559) 679-4254,2023-05-14,2025-07-19
41-989906,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Plumas Restaurant Inc,Michael Jackson,9344 Center Rd,Plumas,CA,90307,Plumas,(559) 616-2636,2013-04-20,2024-04-21
48-432042,48,On-Sale General - Bar/Tavern,ACTIVE,Plumas Market LLC,Michelle Thomas,2801 Center Dr,Plumas,CA,92264,Plumas,(916) 708-3310,2016-02-25,2024-06-12
47-641053,47,On-Sale General - Restaurant,ACTIVE,The Plumas Tavern,John Hernandez,9530 Broad Way,Plumas,CA,94359,Plumas,(559) 281-1593,2023-05-22,2026-10-02
75-818930,75,Event Permit Holder,ACTIVE,Plumas Market,Steven Jackson,6164 Center Pl,Plumas,CA,93594,Plumas,(760) 756-1491,2012-07-27,2024-12-13
21-972077,21,Off-Sale General,ACTIVE,Plumas Cafe LLC,Mark Brown,2304 Center Dr,Plumas,CA,90313,Plumas,(209) 903-1316,2021-08-27,2024-09-15
41-254955,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Plumas Cafe,Matthew Davis,8456 Broad Pl,Plumas,CA,95121,Plumas,(530) 855-9611,2017-01-21,2026-04-20
75-265535,75,Event Permit Holder,ACTIVE,The Plumas Bar Inc,David Hernandez,3937 Main St,Plumas,CA,92760,Plumas,(916) 451-5436,2020-05-21,2024-12-18
58-298594,58,Caterer's Beer & Wine,ACTIVE,Plumas Tavern LLC,Maria Jackson,3485 Broad St,Plumas,CA,92833,Plumas,(760) 897-6654,2014-12-03,2024-06-14
75-232277,75,Event Permit Holder,ACTIVE,Plumas Bar,Steven Anderson,3494 Main Blvd,Plumas,CA,91805,Plumas,(707) 974-7105,2015-03-24,2025-12-05
58-985068,58,Caterer's Beer & Wine,ACTIVE,Plumas Bar Inc,Anthony Johnson,7591 Broad Blvd,Plumas,CA,90064,Plumas,(916) 343-9479,2024-03-22,2026-05-28
47-342608,47,On-Sale General - Restaurant,ACTIVE,Plumas Tavern,David Hernandez,3646 Broad Ave,Plumas,CA,90714,Plumas,(916) 947-8146,2024-04-08,2026-04-04
21-162843,21,Off-Sale General,ACTIVE,Plumas Restaurant Inc,Anthony Davis,3145 Broad Dr,Plumas,CA,94640,Plumas,(831) 960-2052,2019-03-25,2025-09-04
21-199368,21,Off-Sale General,ACTIVE,The Plumas Tavern Inc,Andrew Taylor,5225 Main Pl,Plumas,CA,95058,Plumas,(831) 416-9937,2017-07-17,2025-07-01
75-408024,75,Event Permit Holder,ACTIVE,Plumas Cafe,William Wilson,7927 Main Ct,Plumas,CA,92744,Plumas,(831) 244-1421,2024-05-23,2026-01-15
