id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
IN-95971,South Bend Restaurant House,David Moore,General Manager,info@southbendrestauranth.com,(930) 864-7462,3090 Broadway,South Bend,IN,Indiana,34380,Restaurant,B,103900,Toast,60,True,True,29,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.738896
IN-72895,Pub Co.,William Thompson,General Manager,info@pubco..com,(260) 936-6734,4150 Lake St,Indianapolis,IN,Indiana,19392,Pub,A,876400,ShopKeep,70,True,True,9,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.738932
IN-86968,Bistro of Indianapolis,Sarah Jones,General Manager,info@bistroofindianapolis.com,(574) 864-3215,6961 Pine St,Indianapolis,IN,Indiana,83245,Bistro,A,876400,Unknown,40,True,False,13,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.738948
IN-35022,Cafe & Grill,Linda Hernandez,General Manager,info@cafeandgrill.com,(219) 515-5100,3921 Lake St,South Bend,IN,Indiana,36864,Cafe,B,103900,Toast,60,True,True,6,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.738963
IN-80965,Corner Restaurant on Main,Joseph Smith,Owner,info@cornerrestaurantonma.com,(260) 848-3056,2312 River Rd,Fort Wayne,IN,Indiana,14994,Restaurant,B,269800,Unknown,40,True,True,8,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.738986
IN-93295,South Bend Bistro,Richard Martinez,General Manager,info@southbendbistro.com,(765) 453-4900,7341 Main St,South Bend,IN,Indiana,27714,Grill,B,103900,Aloha,80,False,False,35,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739000
IN-65419,Cafe & Grill,Elizabeth Miller,Manager,info@cafeandgrill.com,(463) 350-9235,9813 Maple Ave,Fort Wayne,IN,Indiana,81082,Cafe,B,269800,Revel,70,True,False,32,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Fort Wayne,Midwest",2026-05-07T20:52:45.739013
IN-40456,Savory Restaurant on Main,Robert Rodriguez,Operations Manager,info@savoryrestaurantonma.com,(219) 283-2354,1761 River Rd,Indianapolis,IN,Indiana,12303,Restaurant,A,876400,Aloha,80,True,True,14,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Indianapolis,Midwest",2026-05-07T20:52:45.739022
IN-86359,South Bend Bistro,Richard Wilson,Operations Manager,info@southbendbistro.com,(930) 752-4104,4980 Oak St,South Bend,IN,Indiana,66018,Restaurant,B,103900,Unknown,40,True,True,27,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739031
IN-91393,South Bend Pub,Charles Martin,Owner,info@southbendpub.com,(260) 633-1793,8152 Lake St,South Bend,IN,Indiana,81411,Pub,B,103900,Clover,75,True,True,4,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,South Bend,Midwest",2026-05-07T20:52:45.739040
