license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-624902,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Santa Maria Heights,Mark Smith,2604 1st Blvd,Santa Maria,CA,94344,Santa Barbara,(805) 813-6310,2011-05-08,2012-05-08
41-124302,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Santa Barbara,John Brown,928 State Pl,Santa Maria,CA,95359,Santa Barbara,(820) 492-9793,2008-12-12,2009-12-12
41-646571,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldDiner Goleta 81,Matthew Wilson,7099 7th Pl,Goleta,CA,92821,Santa Barbara,(820) 737-6222,2012-03-25,2013-03-25
41-450996,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery Santa Maria Hills 62,Michelle Gonzalez,5247 Sunset Way #398,Santa Maria,CA,96020,Santa Barbara,(820) 789-4971,2012-06-04,2013-06-04
41-770153,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldKitchen Goleta 87,James Garcia,4973 Washington Ave,Goleta,CA,92565,Santa Barbara,(805) 444-6003,2004-09-13,2005-09-13
41-253347,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner,Christopher Anderson Hernandez,6886 2nd Pl,Santa Barbara,CA,90762,Santa Barbara,(820) 727-5558,2018-01-28,2019-01-28
41-599284,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern 76,Steven Davis Anderson,9890 4th Way,Santa Maria,CA,95239,Santa Barbara,(820) 555-8891,2009-06-14,2010-06-14
41-906519,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner 37,Mark Thomas,3060 Mission Blvd #103,Santa Barbara,CA,95100,Santa Barbara,(820) 212-8514,2000-10-16,2001-10-16
41-422328,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery,Maria Martin,6234 6th Rd,Santa Maria,CA,94687,Santa Barbara,(820) 447-7412,2001-10-14,2002-10-14
41-177479,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldHouse Santa Barbara 13,John Martinez,9736 2nd Dr #979,Santa Barbara,CA,92557,Santa Barbara,(820) 635-9394,2006-02-09,2007-02-09
41-595104,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldCorner Santa Barbara 74,Paul Brown Hernandez,7655 4th Dr,Santa Barbara,CA,93634,Santa Barbara,(805) 381-8559,2005-04-15,2006-04-15
41-195142,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant,Steven Johnson,1436 Front Pl #636,Santa Maria,CA,92111,Santa Barbara,(805) 820-1997,2003-03-01,2004-03-01
41-129009,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldDiner Group 62,Matthew Martin,8448 3rd Blvd,Santa Maria,CA,94270,Santa Barbara,(820) 709-2229,2002-09-03,2003-09-03
41-154679,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldPlace Goleta Hills Company 3,James Anderson,3301 Washington Ave,Goleta,CA,90831,Santa Barbara,(820) 383-9748,2011-12-06,2012-12-06
41-933229,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot LLC,Maria Smith,9149 State Ave #498,Goleta,CA,94593,Santa Barbara,(820) 381-9930,2002-06-21,2003-06-21
41-509568,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheGrill 100,Christopher Taylor,3940 Jefferson Pl,Santa Maria,CA,94519,Santa Barbara,(805) 312-5385,2003-05-28,2004-05-28
41-150106,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Santa Maria Inc,Mark Moore,4765 Broadway Dr,Santa Maria,CA,95587,Santa Barbara,(820) 304-7526,2004-08-24,2005-08-24
41-631040,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery 64,Christopher Hernandez,5635 6th Rd #785,Goleta,CA,92290,Santa Barbara,(820) 950-7913,2019-05-06,2020-05-06
41-597203,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Group,Matthew Johnson Miller,2922 Hollywood Ln,Santa Maria,CA,95488,Santa Barbara,(820) 467-5290,2017-06-23,2018-06-23
41-261571,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Santa Maria Hills Inc,Steven Martinez,5288 Washington St #698,Santa Maria,CA,95636,Santa Barbara,(820) 594-7458,2016-12-24,2017-12-24
41-159094,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheBistro Santa Barbara Inc 92,Jennifer Moore,7838 Wilshire Blvd,Goleta,CA,93795,Santa Barbara,(820) 360-7973,2023-04-20,2024-04-20
41-227153,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheDiner Santa Maria Corp 65,Maria Gonzalez,2115 Broadway Ln,Santa Maria,CA,91111,Santa Barbara,(820) 417-8553,2010-12-26,2011-12-26
41-682985,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Corp 2,Andrew Davis,5033 Mission Dr,Santa Maria,CA,91414,Santa Barbara,(805) 735-5120,2006-10-17,2007-10-17
41-172048,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldHouse Santa Maria 26,Michael Williams,8771 3rd Ct #117,Santa Maria,CA,94198,Santa Barbara,(805) 525-8699,2007-07-07,2008-07-07
41-747925,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewTavern Santa Barbara Corp 46,Matthew Wilson Smith,7085 6th Ln,Santa Maria,CA,93875,Santa Barbara,(820) 225-4799,2002-07-07,2003-07-07
41-999372,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Maria Johnson,9719 Franklin Pl,Santa Maria,CA,95474,Santa Barbara,(805) 281-8740,2005-05-19,2006-05-19
41-899918,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Paul Johnson Anderson,5852 Madison Rd #312,Santa Maria,CA,92487,Santa Barbara,(805) 968-2464,2006-10-05,2007-10-05
41-912538,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Santa Maria Valley Company,David Anderson,4137 2nd Ave,Santa Maria,CA,90438,Santa Barbara,(820) 679-1064,2024-04-21,2025-04-21
41-426229,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Corp,Anthony Miller Martinez,6422 Franklin Ave #728,Santa Barbara,CA,93912,Santa Barbara,(820) 441-2700,2024-07-23,2025-07-23
41-776251,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewTavern 49,Maria Garcia,266 State Ln,Santa Maria,CA,92167,Santa Barbara,(820) 711-4739,2019-02-23,2020-02-23
41-514153,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Mark Thomas,1571 Oak Ct,Santa Maria,CA,90843,Santa Barbara,(820) 800-5447,2000-01-07,2001-01-07
41-893064,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldRestaurant 30,John Johnson Jackson,1619 Pico Pl,Santa Barbara,CA,94635,Santa Barbara,(805) 714-2786,2012-03-28,2013-03-28
41-871072,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Group,Jennifer Hernandez,4443 4th Ave,Santa Maria,CA,95147,Santa Barbara,(805) 481-8263,2022-11-05,2023-11-05
41-728983,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheGrill Corp 56,James Jones,7085 Ocean Dr,Santa Maria,CA,92792,Santa Barbara,(820) 874-9004,2018-04-11,2019-04-11
41-664117,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Santa Barbara,James Moore,2723 3rd St #950,Santa Maria,CA,95173,Santa Barbara,(820) 957-2062,2000-12-04,2001-12-04
