full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Marilyn Cole,Marilyn,Cole,marilync@century21.com,(307) 170-7985,Beazer Homes,Carrollton,TX,0,8,2957320,TX117302,TX,4.3,68,C,realtor_scraper,2026-07-30T02:00:37.105382+00:00
William Patterson,William,Patterson,williampatterson@kw.com,(731) 886-6059,Colliers International,Carlsbad,CA,0,6,2329752,CA517329,CA,3.7,66,C,realtor_scraper,2026-07-30T02:00:37.103721+00:00
Juan Owens,Juan,Owens,juano@outlook.com,(623) 293-6187,Ryan Homes,Hesperia,CA,0,7,2147775,CA286831,CA,4.4,67,C,realtor_scraper,2026-07-30T02:00:37.107046+00:00
David Martin,David,Martin,davidm@agent.com,(248) 660-2485,Taylor Morrison,Little Rock,AR,9,27,13723182,AR873686,AR,4.2,96,B,realtor_scraper,2026-07-30T02:00:37.096952+00:00
Frances Brown,Frances,Brown,frances.brown@realtor.com,(952) 571-1023,David Weekley Homes,Des Moines,IA,4,17,8329167,IA920238,IA,3.1,86,B,realtor_scraper,2026-07-30T02:00:37.097729+00:00
Julia Myers,Julia,Myers,myersjulia@outlook.com,(757) 214-3867,Dickson Realty,Virginia Beach,VA,12,9,6588270,VA443570,VA,4.3,94,A,realtor_scraper,2026-07-30T02:00:37.088496+00:00
Margaret White,Margaret,White,mwhite@agent.com,(409) 886-7687,AvalonBay Communities,High Point,NC,10,28,16954448,NC415110,NC,3.7,95,C,realtor_scraper,2026-07-30T02:00:37.104495+00:00
Jack Webb,Jack,Webb,jwebb@agent.com,(509) 959-8588,Better Homes and Gardens Real Estate,Phoenix,AZ,10,27,8891019,AZ598432,AZ,4.8,100,A,realtor_scraper,2026-07-30T02:00:37.093262+00:00
Ruth Jimenez,Ruth,Jimenez,ruth.jimenez@sothebysrealty.com,(256) 815-7904,Weichert Realtors,Tulsa,OK,11,14,8958082,OK858851,OK,4.8,99,A,realtor_scraper,2026-07-30T02:00:37.091422+00:00
Elizabeth Cruz,Elizabeth,Cruz,elizabethc@homes.com,(330) 825-5324,Realty Executives,Fort Lauderdale,FL,8,16,6745808,FL785870,FL,3.0,94,B,realtor_scraper,2026-07-30T02:00:37.101455+00:00
Cole Black,Cole,Black,coleb@realty.com,(219) 826-9538,John L. Scott Real Estate,Torrance,CA,9,28,11669448,CA27810,CA,3.6,96,B,realtor_scraper,2026-07-30T02:00:37.095956+00:00
Mark Hamilton,Mark,Hamilton,mhamilton@compass.com,(678) 584-8366,ERA Real Estate,Saint Paul,MN,8,9,5411394,MN118557,MN,4.6,90,A,realtor_scraper,2026-07-30T02:00:37.093291+00:00
Kathryn Robinson,Kathryn,Robinson,kathryn.robinson@compass.com,(229) 121-8083,Newmark Grubb Knight Frank,Santa Maria,CA,7,9,6150438,CA686607,CA,4.4,83,C,realtor_scraper,2026-07-30T02:00:37.107663+00:00
