full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Helen Nguyen,Helen,Nguyen,helen.nguyen@coldwellbanker.com,(716) 730-3272,Taylor Morrison,Colorado Springs,CO,15,15,10161715,CO546812,CO,3.8,84,C,realtor_scraper,2026-08-25T06:32:09.068403+00:00
Charles Kelly,Charles,Kelly,ckelly@sothebysrealty.com,(325) 652-7924,Weichert,Raleigh,NC,9,50,7582441,NC433078,NC,3.8,80,B,realtor_scraper,2026-08-25T06:32:09.063465+00:00
Christopher Brown,Christopher,Brown,christopher.brown@exprealty.com,(214) 912-1314,Vylla Home,Louisville,KY,3,4,90959,KY424732,KY,5.0,75,C,realtor_scraper,2026-08-25T06:32:09.070165+00:00
David Hill,David,Hill,dhill@homesmart.com,(714) 809-5972,Berkshire Hathaway,Indianapolis,IN,3,11,14578700,IN735126,IN,4.2,84,B,realtor_scraper,2026-08-25T06:32:09.065170+00:00
Mary James,Mary,James,maryj@exprealty.com,(320) 379-5200,Douglas Elliman,Baltimore,MD,24,14,8650472,MD478960,MD,4.7,73,B,realtor_scraper,2026-08-25T06:32:09.063000+00:00
Shirley Brown,Shirley,Brown,shirleyb@yahoo.com,(458) 560-1872,M/I Homes,Virginia Beach,VA,0,22,11105600,VA685031,VA,3.9,71,C,realtor_scraper,2026-08-25T06:32:09.071506+00:00
Ruth Martinez,Ruth,Martinez,martinez.ruth@realtyonegroup.com,(903) 528-9294,Weichert,Albuquerque,NM,11,2,414086,NM587084,NM,4.1,75,C,realtor_scraper,2026-08-25T06:32:09.069007+00:00
Amanda Kim,Amanda,Kim,akim@realtyonegroup.com,(405) 864-7311,M/I Homes,Nashville,TN,0,34,4139347,TN464020,TN,4.2,81,A,realtor_scraper,2026-08-25T06:32:09.061137+00:00
Laura Ramirez,Laura,Ramirez,laura13@berkshirehathawayhs.com,(859) 542-9158,ERA,Chicago,IL,10,24,14504508,IL140195,IL,4.8,72,A,realtor_scraper,2026-08-25T06:32:09.058203+00:00
Michael Nguyen,Michael,Nguyen,michael.nguyen@realtyonegroup.com,(931) 999-9341,D.R. Horton,Jacksonville,FL,1,4,314882,FL862386,FL,3.9,76,B,realtor_scraper,2026-08-25T06:32:09.066121+00:00
Eric Murphy,Eric,Murphy,ericm@century21.com,(308) 885-2270,Coldwell Banker,San Diego,CA,2,18,2447621,CA202937,CA,3.8,92,A,realtor_scraper,2026-08-25T06:32:09.060930+00:00
Dennis Morales,Dennis,Morales,dmorales@coldwellbanker.com,(567) 496-2369,Vylla Home,Dallas-Fort Worth,TX,1,17,8518190,TX436817,TX,4.0,69,A,realtor_scraper,2026-08-25T06:32:09.061845+00:00
Deborah Reyes,Deborah,Reyes,reyes.deborah@exprealty.com,(401) 338-9100,Weichert,Jacksonville,FL,3,17,1867823,FL624394,FL,4.6,76,B,realtor_scraper,2026-08-25T06:32:09.065486+00:00
Jessica Reyes,Jessica,Reyes,jessica28@hotmail.com,(660) 764-6280,Century Communities,San Diego,CA,2,16,14778857,CA882065,CA,4.2,89,A,realtor_scraper,2026-08-25T06:32:09.060478+00:00
Joshua Wilson,Joshua,Wilson,joshuaw@homesmart.com,(805) 706-8139,Meritage Homes,Cincinnati,OH,5,4,310047,OH903608,OH,5.0,88,B,realtor_scraper,2026-08-25T06:32:09.065914+00:00
Ashley Gonzalez,Ashley,Gonzalez,ashley.gonzalez@elliman.com,(612) 304-9072,Taylor Morrison,Tucson,AZ,0,24,12886592,AZ584122,AZ,5.0,74,C,realtor_scraper,2026-08-25T06:32:09.071303+00:00
James Martin,James,Martin,james63@outlook.com,(913) 852-1856,The Agency,Nashville,TN,21,46,14735219,TN151714,TN,3.9,92,A,realtor_scraper,2026-08-25T06:32:09.056912+00:00
