full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Evelyn Lee,Evelyn,Lee,elee@zillow.com,(816) 278-6850,Realty Executives,Omaha,NE,8,30,22507620,NE523635,NE,4.3,96,A,realtor_scraper,2026-04-19T02:00:46.828811+00:00
Paul Burns,Paul,Burns,paulb@exp.com,(432) 520-6372,Dickson Realty,Toledo,OH,6,14,5320350,OH352631,OH,4.8,91,A,realtor_scraper,2026-04-19T02:00:46.823852+00:00
Robert Henry,Robert,Henry,roberthenry@trulia.com,(715) 862-5596,United Real Estate,Minneapolis,MN,2,5,2319625,MN141517,MN,4.8,74,A,realtor_scraper,2026-04-19T02:00:46.827319+00:00
Scott Reyes,Scott,Reyes,sreyes@exp.com,(925) 730-3992,Movoto,Montgomery,AL,0,3,902424,AL380913,AL,4.7,66,B,realtor_scraper,2026-04-19T02:00:46.836356+00:00
Roy Patterson,Roy,Patterson,rpatterson@nextdoor.com,(979) 635-3147,Cushman & Wakefield,Little Rock,AR,6,11,7848324,AR132844,AR,4.3,86,B,realtor_scraper,2026-04-19T02:00:46.830258+00:00
Beverly Boyd,Beverly,Boyd,bboyd@kw.com,(503) 853-9957,KB Home,Jacksonville,FL,2,2,797864,FL922823,FL,4.6,71,A,realtor_scraper,2026-04-19T02:00:46.826952+00:00
Diana Sullivan,Diana,Sullivan,dsullivan@realtyonegroup.com,(763) 100-3035,Lyon Real Estate,Fort Worth,TX,8,14,10442656,TX153951,TX,4.9,95,A,realtor_scraper,2026-04-19T02:00:46.827210+00:00
Kathryn Smith,Kathryn,Smith,kathrynsmith@trulia.com,(754) 552-1476,Redfin,Bridgeport,CT,6,11,5022303,CT650844,CT,4.3,86,B,realtor_scraper,2026-04-19T02:00:46.831288+00:00
Brandon Freeman,Brandon,Freeman,brandonf@century21.com,(864) 733-9129,eXp Realty,Dayton,OH,6,18,12689298,OH144214,OH,4.0,90,B,realtor_scraper,2026-04-19T02:00:46.830368+00:00
Paul Ellis,Paul,Ellis,paulellis@sothebysrealty.com,(304) 270-6201,Realty World,Mesa,AZ,12,29,13893030,AZ355969,AZ,3.0,100,A,realtor_scraper,2026-04-19T02:00:46.828150+00:00
Daniel King,Daniel,King,danielking@sothebysrealty.com,(269) 787-5692,Village Real Estate,Tempe,AZ,1,7,3063627,AZ707094,AZ,4.2,72,B,realtor_scraper,2026-04-19T02:00:46.836704+00:00
Katherine Olson,Katherine,Olson,katherine.olson@remax.net,(260) 896-1570,ZipRealty,Wichita,KS,8,9,2800206,KS624169,KS,3.4,90,A,realtor_scraper,2026-04-19T02:00:46.823679+00:00
Kayla Payne,Kayla,Payne,kpayne@yahoo.com,(210) 518-9649,KB Home,Portland,OR,11,11,5331403,OR834659,OR,3.8,96,A,realtor_scraper,2026-04-19T02:00:46.825259+00:00
Laura Miller,Laura,Miller,lauram@zillow.com,(720) 449-9530,Exit Realty,Colorado Springs,CO,6,12,8922864,CO392962,CO,3.7,89,A,realtor_scraper,2026-04-19T02:00:46.826918+00:00
Jeremy Gray,Jeremy,Gray,jeremyg@remax.net,(607) 595-6516,Taylor Morrison,Baltimore,MD,8,8,4044216,MD941380,MD,3.5,89,A,realtor_scraper,2026-04-19T02:00:46.827552+00:00
Edwin Lee,Edwin,Lee,edwinlee@icloud.com,(951) 397-1237,Century 21,Madison,WI,12,29,14107137,WI665282,WI,4.3,100,A,realtor_scraper,2026-04-19T02:00:46.825307+00:00
Kathleen West,Kathleen,West,kathleen.west@hotmail.com,(301) 852-9705,Homes.com,Des Moines,IA,9,30,15727290,IA793215,IA,3.1,96,B,realtor_scraper,2026-04-19T02:00:46.833038+00:00
Eric Campbell,Eric,Campbell,ericc@broker.com,(208) 975-1530,Coldwell Banker,Midland,TX,3,11,5087412,TX415216,TX,5.0,77,C,realtor_scraper,2026-04-19T02:00:46.838537+00:00
Julia Bell,Julia,Bell,julia.bell@trulia.com,(430) 199-9618,Taylor Morrison,Lafayette,LA,3,9,5123394,LA364866,LA,4.6,78,B,realtor_scraper,2026-04-19T02:00:46.830063+00:00
Brenda Munoz,Brenda,Munoz,brendamunoz@exp.com,(386) 991-6759,Taylor Morrison,Pittsburgh,PA,11,35,25465860,PA158829,PA,3.3,100,A,realtor_scraper,2026-04-19T02:00:46.829171+00:00
Justin Tran,Justin,Tran,tranjustin@realty.com,(475) 913-8214,Marcus & Millichap,Tulsa,OK,8,19,9952599,OK58223,OK,4.6,96,A,realtor_scraper,2026-04-19T02:00:46.825881+00:00
Kenneth Mendoza,Kenneth,Mendoza,kmendoza@realtor.com,(470) 640-7240,Lyon Real Estate,McKinney,TX,12,26,12499058,TX616717,TX,4.4,98,B,realtor_scraper,2026-04-19T02:00:46.834144+00:00
Jack Chen,Jack,Chen,jackchen@exp.com,(419) 164-9299,Marcus & Millichap,San Bernardino,CA,6,34,12459368,CA886540,CA,3.9,90,B,realtor_scraper,2026-04-19T02:00:46.833158+00:00
Nathan Wood,Nathan,Wood,woodnathan@broker.com,(630) 108-6731,Village Real Estate,Grand Rapids,MI,0,8,3012208,MI268383,MI,3.9,71,B,realtor_scraper,2026-04-19T02:00:46.836425+00:00
Raymond Kim,Raymond,Kim,raymondk@agent.com,(973) 398-1298,HomeSmart,Santa Maria,CA,1,6,1702908,CA961931,CA,4.2,68,C,realtor_scraper,2026-04-19T02:00:46.841871+00:00
Sara Ryan,Sara,Ryan,sarar@zillow.com,(274) 924-9400,Baird & Warner,Lincoln,NE,5,17,5892659,NE817432,NE,3.7,90,A,realtor_scraper,2026-04-19T02:00:46.824980+00:00
Kevin Price,Kevin,Price,kevin.price@gmail.com,(219) 864-2304,Dickson Realty,Richardson,TX,7,32,13802048,TX493815,TX,3.0,89,C,realtor_scraper,2026-04-19T02:00:46.839575+00:00
Bradley Roberts,Bradley,Roberts,broberts@nextdoor.com,(870) 682-4844,Sotheby's International Realty,Portland,OR,11,26,19463522,OR814334,OR,4.3,100,A,realtor_scraper,2026-04-19T02:00:46.822840+00:00
Olivia Weaver,Olivia,Weaver,oweaver@realtyonegroup.com,(325) 527-7939,Lennar,Elgin,IL,0,2,743768,IL11020,IL,5.0,65,B,realtor_scraper,2026-04-19T02:00:46.833139+00:00
Amber Patterson,Amber,Patterson,amber.patterson@sothebysrealty.com,(970) 229-7873,Real Living,Birmingham,AL,0,10,2741130,AL439935,AL,3.1,73,B,realtor_scraper,2026-04-19T02:00:46.833204+00:00
