full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Nicholas Ward,Nicholas,Ward,nicholasward64@century21.com,(843) 586-6873,JPMorgan Real Estate,Buffalo,NY,Buffalo,NY209469,NY,8,12,10200000,88,B,B,4.4,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Matthew Ward,Matthew,Ward,matthew.ward@coldwellbanker.com,(317) 832-1930,JLL,Cedar Rapids,IA,Cedar Rapids,IA469690,IA,1,20,4100000,74,C,C,4.9,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Patricia Stewart,Patricia,Stewart,patricia.stewart@exp.com,(504) 229-1062,JLL,Las Vegas,NV,Las Vegas,NV965465,NV,5,15,6375000,85,B,B,3.4,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
Shirley Williams,Shirley,Williams,swilliams@sothebysrealty.com,(716) 201-8310,Century 21,Detroit,MI,Detroit,MI793397,MI,4,45,12375000,87,B,B,4.0,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Brian Cruz,Brian,Cruz,bcruz@sothebysrealty.com,(202) 456-6126,Berkshire Hathaway HomeServices,Birmingham,AL,Birmingham,AL965513,AL,6,18,3960000,70,B,B,4.1,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
Deborah Torres,Deborah,Torres,deborah_torres@realtor.com,(206) 257-2347,RE/MAX,Rochester,NY,Rochester,NY537289,NY,4,8,6800000,64,B,B,4.1,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Frank Scott,Frank,Scott,frankscott@sothebysrealty.com,(208) 338-3378,JLL,Baltimore,MD,Baltimore,MD250703,MD,12,15,6375000,95,B,B,3.6,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Margaret Anderson,Margaret,Anderson,margaretanderson@remax.com,(704) 913-7080,United Real Estate,Washington,DC,Washington,DC553387,DC,2,16,11200000,84,A,A,4.9,realtor_scraper,https://www.kw.com/agent,2026-04-21T07:00:00.000000+00:00
David Kim,David,Kim,dkim@hotmail.com,(828) 828-8421,Compass,Chicago,IL,Chicago,IL549748,IL,7,30,9000000,94,A,A,3.1,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-21T07:00:00.000000+00:00
Shirley Lewis,Shirley,Lewis,shirleylewis40@realtor.com,(316) 443-1402,Independent Agent,Riverside,CA,Riverside,CA709875,CA,3,10,7500000,75,B,B,3.6,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-21T07:00:00.000000+00:00
David Ross,David,Ross,david.ross@weichert.com,(559) 658-4956,United Real Estate,Pittsburgh,PA,Pittsburgh,PA222001,PA,10,18,5220000,81,B,B,4.9,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-21T07:00:00.000000+00:00
